time,gm_tas
201501,286.302357454456
201502,286.7883515777619
201503,287.32138299985456
201504,288.11212969445353
201505,289.1465210111146
201506,289.95180739769853
201507,290.2728938126493
201508,289.9067486633636
201509,289.2180273684097
201510,288.29902451376495
201511,287.57826142927956
201512,286.852076894109
201601,286.47374088813467
201602,286.65347809732566
201603,286.9655269573662
201604,288.0309805301338
201605,289.1707435199919
201606,289.86368359687253
201607,290.1215755802062
201608,290.0266523506814
201609,289.2612786390393
201610,288.13222204381
201611,287.2315362211272
201612,286.29829170445373
201701,286.16424355299375
201702,286.3931554763009
201703,287.0153440840668
201704,287.9665480758392
201705,288.8747995425493
201706,289.63852480486156
201707,290.1741239070015
201708,289.9604607032272
201709,289.23829651275173
201710,288.3804598800535
201711,287.456843317487
201712,286.90959528929204
201801,286.49759365196536
201802,286.68117894879424
201803,287.1860380164767
201804,288.2367057624921
201805,289.18075244980514
201806,289.9557327634226
201807,290.18974806862093
201808,290.01061816323727
201809,289.42825124147885
201810,288.5347261158566
201811,287.64658247094064
201812,286.9039993114109
201901,286.76366211601834
201902,286.54021706006574
201903,287.1812521082641
201904,288.2803537107445
201905,289.27410644810834
201906,289.9924510563216
201907,290.3735815667779
201908,290.34850738891646
201909,289.6197967494671
201910,288.73096391024717
201911,287.9313132350808
201912,287.11893525380685
202001,286.80743913940114
202002,286.9355409522294
202003,287.68411998625083
202004,288.61045964543086
202005,289.3370456585344
202006,290.1354236641439
202007,290.2921169755826
202008,290.1278853203454
202009,289.5570970310889
202010,288.77376314048183
202011,288.0459183059111
202012,286.98321189384126
202101,286.7197757294691
202102,286.85599278154274
202103,287.45408024863593
202104,288.47198614226807
202105,289.4485178911194
202106,290.3076720160833
202107,290.5250202409097
202108,290.29356836475563
202109,289.5825860048784
202110,288.6288749424807
202111,287.7891070336776
202112,286.9833028447641
202201,286.61437524483097
202202,286.6479974333595
202203,287.2516292326649
202204,288.48777422480276
202205,289.4853006866489
202206,290.16019780655427
202207,290.486406298578
202208,290.4593125878523
202209,289.74876876938174
202210,289.011995145354
202211,288.0023288293985
202212,287.31209701716784
202301,287.22509277242756
202302,286.9792514337821
202303,287.54698052408037
202304,288.60046949219117
202305,289.5342771185118
202306,290.1117959773427
202307,290.5981349169916
202308,290.2716246843262
202309,289.7726943696358
202310,288.86322902415293
202311,287.8049674721669
202312,286.9216673789917
202401,286.637127327864
202402,286.9242802122375
202403,287.5679998560938
202404,288.5476592267512
202405,289.59267729646194
202406,290.36623923018686
202407,290.5254649347341
202408,290.439619374306
202409,289.8818978859934
202410,288.8480236090031
202411,287.972731184003
202412,287.2248633222423
202501,286.7793033406772
202502,286.79145859976364
202503,287.6159735615597
202504,288.4916855038598
202505,289.4017316363778
202506,290.11777099341197
202507,290.5365541652992
202508,290.26080894665836
202509,289.7567124344936
202510,288.76593608948303
202511,288.0113323162906
202512,287.3950257593283
202601,286.9317222368682
202602,286.7893260679193
202603,287.5536739460883
202604,288.63372405367886
202605,289.378577403162
202606,290.11048841426697
202607,290.5990516987472
202608,290.5064547934586
202609,289.8777145860217
202610,288.87056032706755
202611,288.12843984739334
202612,287.2861086225813
202701,287.1538222222881
202702,287.1905069537278
202703,287.5015379009716
202704,288.70288707802814
202705,289.5327942625255
202706,290.1765469946001
202707,290.5425760307344
202708,290.5197187587138
202709,290.00141400413315
202710,289.1527681193648
202711,288.2820303623362
202712,287.3638580492932
202801,287.1469125938139
202802,287.25393574366205
202803,287.94054534814705
202804,288.6928390515826
202805,289.5164215417108
202806,290.32410377595687
202807,290.66678733206015
202808,290.4721287268261
202809,289.8883330048459
202810,288.9737009771651
202811,288.0248464151798
202812,287.47681675086096
202901,287.1453253868091
202902,287.1163556498688
202903,287.5843467513558
202904,288.56087057003543
202905,289.5939364232188
202906,290.1435097167081
202907,290.55584899190455
202908,290.4211794494098
202909,289.64185029570046
202910,288.74640498239285
202911,287.92540007212426
202912,287.33168806174274
203001,286.87462712231786
203002,286.8881835923395
203003,287.6245528580406
203004,288.5210375970104
203005,289.549507667994
203006,290.1975650548545
203007,290.6298957077404
203008,290.56908487937346
203009,289.79211336089054
203010,288.94875187965346
203011,288.1155811433058
203012,287.3349038451354
203101,286.94684122840806
203102,287.20798575460435
203103,287.55123454269915
203104,288.39006463517603
203105,289.64226645794514
203106,290.19679913782034
203107,290.79770051660216
203108,290.49728985360804
203109,289.9079410382107
203110,288.9768926516885
203111,288.3637126787314
203112,287.5353855873228
203201,287.26821542770324
203202,287.1733415151406
203203,287.80930934352534
203204,288.76882375609415
203205,289.65535234595126
203206,290.4528951171165
203207,290.8712124170021
203208,290.5695329498759
203209,289.997460842769
203210,289.09787498604896
203211,288.1920124498388
203212,287.38479364096577
203301,287.2619975289161
203302,287.1691746962016
203303,287.8673055395284
203304,288.6697648972169
203305,289.69786779829246
203306,290.3761958717198
203307,290.8382935740691
203308,290.784695676963
203309,290.05816488424483
203310,289.1995827701696
203311,288.455853790225
203312,287.77659721135524
203401,287.4402385582733
203402,287.58900291377705
203403,288.096301442131
203404,289.0123401749039
203405,289.8911503658752
203406,290.55571571043396
203407,290.980588106386
203408,290.6864289320281
203409,290.1379796943986
203410,289.359956073555
203411,288.4523695814715
203412,287.61216438865836
203501,287.21530918597375
203502,287.25951553993343
203503,287.950520966486
203504,288.93504950763736
203505,289.81900109740036
203506,290.5107887757273
203507,290.8575878577823
203508,290.67516398714906
203509,290.12145157568654
203510,289.41101592863595
203511,288.4017589241753
203512,287.7696135884829
203601,287.16983449787693
203602,287.39695190542005
203603,288.0117778642647
203604,288.98040673358696
203605,289.8613252302893
203606,290.5180434206079
203607,291.0847044702491
203608,290.8197943608458
203609,290.1351548997979
203610,289.34127983013974
203611,288.6956284744348
203612,287.97907676321057
203701,287.5556043327284
203702,287.6176188942198
203703,288.338166181941
203704,288.9447912804096
203705,289.8645388702811
203706,290.6636291140954
203707,291.20034100723274
203708,291.02360296342704
203709,290.245440280532
203710,289.49999225111384
203711,288.57232040158766
203712,287.9772221103464
203801,287.83344650581034
203802,287.7860346596102
203803,288.0593080924159
203804,288.999407460633
203805,290.0422848641251
203806,290.8274983241448
203807,291.1385292556414
203808,291.03514656330015
203809,290.38079168645845
203810,289.4535670368931
203811,288.89051219069665
203812,288.0200776520845
203901,287.6073164286456
203902,287.9042678073389
203903,288.39979589161237
203904,289.2704750321942
203905,290.0321786164636
203906,290.8332000584246
203907,291.3256887118267
203908,291.03051533164614
203909,290.44226482562954
203910,289.6293208806855
203911,288.643410033738
203912,287.9175323608459
204001,287.5043546970951
204002,287.4181866303327
204003,288.0235263822312
204004,289.08709911231426
204005,289.9639444796992
204006,290.5293706083112
204007,290.970382968334
204008,290.9287035055588
204009,290.2361928716582
204010,289.429517078554
204011,288.55367139689446
204012,287.79766551681007
204101,287.1557128034081
204102,287.2510261335126
204103,287.9205677093595
204104,288.89892021991756
204105,289.9131753260509
204106,290.70744313491065
204107,290.99917256886215
204108,290.97288701679565
204109,290.2773798724728
204110,289.56576712957883
204111,288.76958004571003
204112,288.1199746221537
204201,287.69941946717563
204202,287.7667490615377
204203,288.3646971687427
204204,289.31085567078173
204205,290.15651287291035
204206,290.9493706728027
204207,291.38598002360277
204208,291.25925434943497
204209,290.7247808492542
204210,289.74249926817754
204211,289.1084838197959
204212,288.1992887027129
204301,287.915181742972
204302,287.92151914748626
204303,288.43078406700323
204304,289.48384582484806
204305,290.18502998993165
204306,290.822828106177
204307,291.24871233395015
204308,291.2452712538424
204309,290.5565212434859
204310,289.72010644678596
204311,288.87190567995526
204312,288.1707472799211
204401,287.95416624620634
204402,287.75222048954686
204403,288.47467280798867
204404,289.35983386634365
204405,290.18121198623965
204406,290.93407399078603
204407,291.2066164629183
204408,291.092635645618
204409,290.4311855912777
204410,289.54731374212884
204411,288.85941512362524
204412,288.1790525329276
204501,287.7434593118994
204502,287.73057132334725
204503,288.38983552666934
204504,289.2940035544662
204505,290.2560998124371
204506,290.89522489570834
