time,gm_tas
202001,286.47313548975086
202002,286.62953686038554
202003,287.5249212402549
202004,287.93953230913917
202005,288.8075507948897
202006,289.5640209723355
202007,289.93922448658475
202008,289.94376137120776
202009,289.400699630407
202010,288.6712483547127
202011,287.6865757673167
202012,287.05292432957805
202101,286.49524915948183
202102,286.5658019002255
202103,287.2987707536319
202104,288.07773165595944
202105,288.8691231654901
202106,289.5850625587414
202107,289.9645429207602
202108,289.9157479401098
202109,289.42659077817353
202110,288.43710649164206
202111,287.797528486539
202112,287.04510970849213
202201,286.85016523310526
202202,287.19583293352247
202203,287.4384078708303
202204,288.01952657046303
202205,288.8238271187805
202206,289.63913264918074
202207,289.9505133158063
202208,289.92293011112497
202209,289.3848777850703
202210,288.6608975398339
202211,287.724694054059
202212,287.0271903437499
202301,286.9576233793778
202302,286.9142545262913
202303,287.24520072220236
202304,288.02029260136777
202305,288.8336642094325
202306,289.5811793905108
202307,289.8584102325169
202308,289.72865208365005
202309,289.33486697787026
202310,288.5029209091098
202311,287.74386286841116
202312,286.9834060384639
202401,286.5518476218041
202402,286.78887087291946
202403,287.26026513071866
202404,288.1655331506659
202405,288.8877835116022
202406,289.4373547227322
202407,289.87127516828616
202408,289.8226927047908
202409,289.1943666182092
202410,288.5107087902341
202411,287.75591165049116
202412,286.7680780796961
