time,gm_tas
185001,285.22235214089324
185002,285.505679461135
185003,286.3588792486902
185004,287.1810230670769
185005,288.0614033104465
185006,288.85850221989966
185007,289.443424346361
185008,289.54304887528514
185009,288.8119267840157
185010,287.3542562444443
185011,286.18439562897
185012,285.3176260275846
185101,285.2599500826396
185102,285.53123681448864
185103,286.2590164595111
185104,287.1739814246479
185105,287.99561008994243
185106,289.08453371169395
185107,289.69735810446133
185108,289.6652379839387
185109,288.9587749876081
185110,287.6156248613733
185111,286.4392246945993
185112,285.7217610187661
185201,285.56819871113174
185202,285.72744467737806
185203,286.431014228217
185204,287.1780141483877
185205,288.10675923884025
185206,289.03247664069636
185207,289.4946695845213
185208,289.5397997638728
185209,288.74125648414156
185210,287.4676905748108
185211,286.1457116114227
185212,285.4538489967123
185301,285.3705323982524
185302,285.7054862437721
185303,286.24119689456387
185304,287.04441858550484
185305,287.9576179261655
185306,288.8118183509038
185307,289.4228706477434
185308,289.46895436788884
185309,288.7828987867243
185310,287.52506019229065
185311,286.2362016609406
185312,285.2721064948419
185401,285.22144998757295
185402,285.45592073089
185403,286.4192935068746
185404,287.18162374132396
185405,288.0698405391573
185406,288.8280455272255
185407,289.52507020570965
185408,289.53127834470587
185409,288.83591350913076
185410,287.61162769676116
185411,286.3144450265227
185412,285.57549379057554
185501,285.5098637496818
185502,285.76393048763805
185503,286.4217645942224
185504,287.2640202126174
185505,288.1182014999793
185506,288.99507244295694
185507,289.61672583762277
185508,289.62659427497624
185509,289.02294617807985
185510,287.7460920853144
185511,286.2395078601859
185512,285.4359152230047
185601,285.4148232467902
185602,285.6320410589538
185603,286.28809768165127
185604,287.0810704868976
185605,288.0580948357067
185606,288.8351091101134
185607,289.58514558380136
185608,289.58823125052794
185609,288.89520153055923
185610,287.5603130469025
185611,286.11619280820446
185612,285.3885745771696
185701,285.33718680403354
185702,286.0386934925819
185703,286.51919800157003
185704,287.14504628945025
185705,287.94410607889375
185706,288.8107814781385
185707,289.450834224058
185708,289.6041564592579
185709,288.79567362277726
185710,287.467112244534
185711,286.2533610746442
185712,285.5869361217815
185801,285.2057947445133
185802,285.6708916816438
185803,286.2419848219673
185804,287.36545753764983
185805,288.1243052177073
185806,289.06172168218905
185807,289.7273940793188
185808,289.64399107729406
185809,288.9098476461814
185810,287.50627141676233
185811,286.4591589459706
185812,285.52266882545337
185901,285.16551136641283
185902,285.5626607711249
185903,286.2631316406757
185904,287.26553481436883
185905,288.19272166855933
185906,289.01916875329425
185907,289.6177498985407
185908,289.5805371793859
185909,288.8862533157856
185910,287.6031772996847
185911,286.1172032610873
185912,285.455207363527
186001,285.3742529166434
186002,285.74425891799154
186003,286.26676937868825
186004,287.15664528571585
186005,288.0653680583893
186006,288.9323190262402
186007,289.50070322117676
186008,289.59889289238924
186009,288.86053105757543
186010,287.6129164936216
186011,286.3851062630322
186012,285.5257341414202
186101,285.3765516810453
186102,285.8221580378466
186103,286.3819498827079
186104,287.3370854637949
186105,288.1839890380098
186106,289.1111437919443
186107,289.7292673897018
186108,289.59377074040754
186109,288.9581154237773
186110,287.73270317248074
186111,286.17569844330717
186112,285.39038004162387
186201,285.24519008028057
186202,285.46737623904346
186203,286.24403220966127
186204,287.1195663106607
186205,287.94367170623883
186206,288.7942074616769
186207,289.48063498809734
186208,289.49889462992525
186209,288.8126953506702
186210,287.4093505175095
186211,286.0388891038142
186212,285.2108263209443
186301,284.9374810022039
186302,285.51513722142147
186303,285.97902356457126
186304,286.9967362525762
186305,287.96180254671077
186306,288.8153783702278
186307,289.448399702203
186308,289.47681979899045
186309,288.7156402371652
186310,287.46197402480766
186311,286.12243285850343
186312,285.42964778138565
186401,285.320859114691
186402,285.54562572348516
186403,286.33169739713514
186404,287.11493740424726
186405,287.8262981910341
186406,288.79071403870574
186407,289.4817341601164
186408,289.41748038188297
186409,288.6354948507518
186410,287.43965734242875
186411,286.0975380589858
186412,285.3446459825054
186501,285.21456731425263
186502,285.75996523595836
186503,286.461229223026
186504,287.41717856117225
186505,288.186048707036
186506,289.0489481974617
186507,289.6393640268334
186508,289.56491392498253
186509,288.8482229404561
186510,287.5027249712395
186511,286.18741778904564
186512,285.4086283311478
186601,285.09909093287297
186602,285.4600533708379
186603,286.1185337943996
186604,286.967122879433
186605,287.8873510177737
186606,288.7378884287652
186607,289.4619302282611
186608,289.42533201846805
186609,288.82197739749114
186610,287.44645535637176
186611,286.2160624612663
186612,285.20895321586147
186701,285.1082320817115
186702,285.4965409555886
186703,286.3501963138312
186704,287.223883371799
186705,288.0375312441164
186706,288.89448297736635
186707,289.582244923188
186708,289.4684683232173
186709,288.77971108972065
186710,287.69997678192584
186711,286.26361118087686
186712,285.4666065953814
186801,285.3004966175244
186802,285.7045730791657
186803,286.20363035615856
186804,287.18637121897194
186805,287.9846835715854
186806,289.0527387842174
186807,289.57071653162
186808,289.6454714398316
186809,289.00000792636973
186810,287.58258422718706
186811,286.20420886826577
