time,gm_tas
185001,285.065131906724
185002,285.38262445799506
185003,286.0453550007707
185004,287.03578342008007
185005,287.97757081015965
185006,288.8767590046049
185007,289.0416714771765
185008,288.62872927248065
185009,288.0066582115634
185010,287.1106011298218
185011,286.04199756989937
185012,285.32758946708066
185101,285.0009884237269
185102,285.43918642487483
185103,286.09868926712454
185104,287.1961799177944
185105,288.2856081522618
185106,289.0586854453382
185107,289.087335026836
185108,288.81970209938135
185109,288.21237514111675
185110,287.23951123588625
185111,286.1883317932921
185112,285.3335203972982
185201,285.13706887556873
185202,285.39953704775155
185203,286.1061074950908
185204,287.20629034073096
185205,288.14615259399494
185206,288.92699939891
185207,289.0494317450775
185208,288.76792756921157
185209,288.0209534761495
185210,286.94407716376827
185211,286.05254521289686
185212,285.1095231450288
185301,284.8801446695238
185302,285.50648422145775
185303,286.25671430356954
185304,287.0348647044476
185305,288.0130523734144
185306,288.7287216810853
185307,288.8726360517329
185308,288.6335656821443
185309,287.90053262437675
185310,286.8837183612579
185311,285.87502392479263
185312,285.32047252817506
185401,284.8451826370275
185402,285.34661333613684
185403,286.03522503072776
185404,287.0435264856121
185405,287.92463372516056
185406,288.706951047001
185407,288.82190402335976
185408,288.5350032867659
185409,287.8956635271137
185410,286.8241426582984
185411,285.76449465304563
185412,285.2490461844016
185501,285.056004949743
185502,285.2822345247201
185503,286.0585308361171
185504,287.0075387749711
185505,287.9923992324834
185506,288.85652770772316
185507,289.0240707172255
185508,288.6215045534699
185509,288.0962919595249
185510,286.9758366505415
185511,285.88693545137363
185512,285.1971811451447
185601,285.05735615171693
185602,285.25734728394036
185603,286.28537719746794
185604,287.07388768012436
185605,288.08209708813445
185606,288.8908644768746
185607,289.1003947794846
185608,288.79490078990665
185609,288.0052093803002
185610,286.965954153699
185611,286.0398615909954
185612,285.38821626582387
185701,285.08918524608845
185702,285.55963779427793
185703,286.21063359208637
185704,287.31228070157437
185705,288.28262368746147
185706,289.08109885761456
185707,289.0526045808572
185708,288.720464772852
185709,287.89932224445647
185710,287.1364142854336
185711,285.96483947732196
185712,285.3007229983605
185801,285.1482142886495
185802,285.3994252639555
185803,286.15129266344053
185804,287.1596365830521
185805,288.08829346565943
185806,288.8045538341903
185807,288.94964076692247
185808,288.7369370612999
185809,287.97775494211425
185810,286.9771356632712
185811,285.9934750816767
185812,285.2878241671314
185901,285.0384343210388
185902,285.4670017208796
185903,286.24977366832184
185904,287.0356562539294
185905,288.06920454093313
185906,288.88208835293204
185907,288.95945060672364
185908,288.8789310197813
185909,288.11454539077465
185910,287.25135799621796
185911,286.0742751842984
185912,285.40072658975816
186001,285.0457319868397
186002,285.33801319360856
186003,286.04130502682443
