time,gm_tas
185001,284.9942745503446
185002,285.1019429337264
185003,285.9912983346734
185004,287.0294442982348
185005,287.9266608396349
185006,288.58064559361213
185007,288.98922081324326
185008,288.57759704145235
185009,288.0587268281591
185010,286.8676246995469
185011,285.81607988274254
185012,285.06266116106485
185101,284.7145550275481
185102,285.4188465657289
185103,286.10830234995336
185104,287.2044567676928
185105,288.11404739469833
185106,288.8909469669504
185107,289.092464081929
185108,288.8679563247261
185109,288.0628327957573
185110,287.0715333420902
185111,285.89224721229493
185112,285.10304730641997
185201,284.9023970375705
185202,285.2973832115938
185203,286.12744835378294
185204,287.1002698269825
185205,288.0992028592248
185206,288.8256826315174
185207,289.16107298108005
185208,288.854128934384
185209,288.0509072259028
185210,286.99325512297884
185211,285.97712931677717
185212,285.24218698558246
185301,284.85537630324785
185302,285.2316089307493
185303,286.0735504307552
185304,287.1111057440246
185305,288.0622572476737
185306,288.7768239194736
185307,289.1154884236942
185308,288.9920656961561
185309,288.18789572524526
185310,287.2171813245947
185311,286.0688529379566
185312,285.1821020657779
185401,285.0904531813684
185402,285.74968356688186
185403,286.28731819411394
185404,287.28117748070287
185405,288.0390784973643
185406,288.84687943491184
185407,289.1644997530502
185408,288.8430658928285
185409,287.9850159236904
185410,286.9507786463509
185411,285.73040773958024
185412,285.00020370138736
185501,284.84698151530887
185502,285.26187978792257
185503,286.03729325570714
185504,287.1640928332482
185505,288.0435114575973
185506,288.74148856327974
185507,289.04855096667427
185508,288.8176342442888
185509,288.0335534930754
185510,286.85425230093847
185511,285.84338732754617
185512,285.1690277205508
185601,285.2150384653237
185602,285.2252219758032
185603,286.17672525208434
185604,287.2585615383628
185605,288.18784905175187
185606,288.8995824797591
185607,289.14878819392715
185608,288.9521460830119
185609,288.1867582693795
185610,287.25689366582304
185611,286.0176827295127
185612,285.32661000092304
185701,285.0252391026087
185702,285.3131415110346
185703,286.1820420484255
185704,287.2228634310221
185705,288.07074908545616
185706,288.73605464245304
185707,289.0259654786608
185708,288.8639334501117
185709,288.2695792763195
185710,287.2777252398361
185711,286.17536677442445
185712,285.4430985211433
185801,285.3342797783301
185802,285.6330141621032
185803,286.3754721832024
185804,287.3760332036763
185805,288.0740441848276
185806,288.90422421761275
185807,289.2654332943842
185808,288.9091555973905
185809,288.21106776541865
185810,287.17296948807723
185811,286.1864048972925
185812,285.2157998887778
185901,284.9622909473727
185902,285.262733146304
185903,286.2985961555809
185904,287.45707167762765
185905,288.29466767104003
185906,288.9079214784139
185907,289.16939018944913
185908,288.9276868402379
185909,288.20285627847556
185910,287.04915573885927
185911,286.1240809644036
185912,285.44963772855357
186001,285.55847539820934
186002,285.5958451226609
186003,286.5314748888008
186004,287.37705656741593
186005,288.3139618167463
186006,288.97286605370675
186007,289.18201434454465
186008,288.9838235314434
186009,288.3508942305298
186010,287.30925224662093
186011,286.3652898603373
186012,285.55637100273566
186101,285.65209059662584
186102,285.8369569163342
186103,286.5920154963845
186104,287.5282603250763
186105,288.3618338490229
186106,289.0474175107721
186107,289.46486082257127
186108,289.12129930330434
186109,288.37546418238566
186110,287.3107462069607
186111,286.3194340278278
186112,285.5558525047797
186201,285.3274424557193
186202,285.7949320543501
186203,286.1165780136529
186204,287.2090151750534
186205,288.14709492066544
186206,288.69118919160957
186207,289.0908516500486
186208,288.84492570131135
186209,288.19480530625304
186210,287.07778559803626
186211,285.85415055505916
186212,285.13854035457797
186301,285.04131311462885
186302,285.1867899105385
186303,286.14504179314497
186304,287.05194587655495
186305,288.1064907628974
186306,288.7949154514202
186307,289.13520630278913
186308,288.94599882644155
186309,288.19138227274647
186310,287.09175652526875
186311,286.2711459034471
186312,285.26517550298126
186401,285.2082120559593
186402,285.54971144418596
186403,286.27996851349104
186404,287.3026148299927
186405,288.2114729784437
186406,288.88617134072126
186407,289.184968336509
186408,288.9702111562435
186409,288.30414031331804
186410,287.19791381736553
186411,286.1345893772143
186412,285.4629824610059
186501,285.2279797562774
186502,285.57856701925976
186503,286.3108289550504
186504,287.3158672210612
186505,288.19816572691866
186506,289.0279143835324
186507,289.230148512887
186508,289.0053562177748
186509,288.2337096206498
186510,287.26652287175347
186511,286.2262308393643
186512,285.3313743553307
186601,285.495071478034
186602,285.4585588576567
186603,286.2609315234407
186604,287.28411608587066
186605,288.21443697244484
186606,288.9655680928681
186607,289.35215084995264
186608,289.0197905422134
186609,288.14702075366364
186610,287.21995429228286
186611,286.0753406507564
186612,285.3156665711083
186701,285.0645551878546
186702,285.41949106513056
186703,286.29455147537277
186704,287.2573151678698
186705,288.1285027085595
186706,288.9320579779439
186707,289.113759303362
