time,gm_tas
185001,285.2643823893248
185002,285.4418158015444
185003,285.92036067701076
185004,287.0133440346999
185005,288.0417881627653
185006,288.7028924649974
185007,289.0621070553034
185008,288.75668582046444
185009,288.164303524542
185010,287.40499209414884
185011,286.59976940578866
185012,285.80875819134974
185101,285.43524904514004
185102,285.5160131593671
185103,286.2748450105162
185104,287.26869821796896
185105,288.1208080719677
185106,288.85629284220596
185107,289.01525464718975
185108,288.73084870296793
185109,288.2022859899494
185110,287.4846382595865
185111,286.68477973409216
185112,285.8337415317824
185201,285.3635914049561
185202,285.39558789176067
185203,286.0202868946369
185204,287.1131289178964
185205,288.1355843879879
185206,288.71568263999035
185207,288.96510974014086
185208,288.77375223270144
185209,288.0999219248159
185210,287.36672199155817
185211,286.49949581754555
185212,285.7532259237063
185301,285.4740417223602
185302,285.6044417628833
185303,286.17122574196077
185304,287.0766858615674
185305,288.0427353467782
185306,288.6733610936729
185307,288.8964553140009
185308,288.7205752383024
185309,287.9880750667273
185310,287.3220662604196
185311,286.40704489010994
185312,285.58384191630546
185401,285.44333033698456
185402,285.5482824867973
185403,286.0920434475347
185404,287.1030969203884
185405,288.0925759222428
185406,288.6713470642447
185407,288.9797797901008
185408,288.77304575053057
185409,288.1336420778356
185410,287.30846256719894
185411,286.4445073113394
185412,285.6168658232861
185501,285.3865398714714
185502,285.6882312915512
185503,286.15147570776094
185504,287.21771362536833
185505,288.2059094860972
185506,288.796480681961
185507,288.94588047153195
185508,288.934710925396
185509,288.38250445501006
185510,287.6429775280503
185511,286.67426371023066
185512,285.9099715010756
185601,285.5603797599821
185602,285.5830175815426
185603,286.4547276667876
185604,287.2383554663167
185605,288.2019031283777
185606,288.9551432311821
185607,289.1750109834537
185608,288.9055832905109
185609,288.3027455650535
185610,287.4755887554315
185611,286.8118025623851
185612,285.97267498472513
185701,285.6260429593307
185702,285.59298118632944
185703,286.2370541139254
185704,287.24602157241594
185705,288.12933720389293
185706,288.9478907877824
185707,288.9275776000917
185708,288.7155562176742
185709,288.10031405564246
185710,287.3773619756598
185711,286.5366084100943
185712,285.8730420418503
185801,285.6140349729242
185802,285.5836962732491
185803,286.2648235348884
185804,287.3416465011222
185805,288.2191464333716
185806,288.7751323420945
185807,288.9582002798056
185808,288.7684611179602
185809,288.1713661647158
185810,287.18973435683023
185811,286.4450287833843
185812,285.9173691588648
185901,285.518461499823
185902,285.5612842624278
185903,286.1681455026445
185904,287.2636868828484
185905,288.21107852330107
185906,289.0332216115966
185907,289.2197147296451
185908,288.92149828801683
185909,288.2878347569054
185910,287.54719507815844
185911,286.60828106746237
185912,285.9447313046927
186001,285.4823697575651
186002,285.6083446444939
186003,286.28563470607816
186004,287.2833747192775
186005,288.2653180312177
186006,288.7624514123277
186007,288.96293330348476
186008,288.74323480576936
186009,288.0341542924922
186010,287.4242861559653
186011,286.7470643389407
186012,285.90952780744317
186101,285.4489565779557
186102,285.55982017764836
186103,286.1583394635719
186104,287.15180012851835
186105,288.16871171742514
186106,288.84656753214836
186107,288.95484066515695
186108,288.72049351373556
186109,288.12596613639715
186110,287.5424645611139
186111,286.6425601386499
186112,285.97186988161184
186201,285.6552569471235
186202,285.5105182716841
186203,286.2282436790876
186204,287.1122438733486
186205,288.01325423310107
186206,288.6544508611613
186207,289.0027721346
186208,288.7710224779576
186209,288.251338044126
186210,287.4050805607542
186211,286.49953582358717
186212,285.8193706246474
186301,285.5877427055896
186302,285.77825664029285
186303,286.2986861620228
186304,287.2169024881719
186305,288.1647609163952
186306,288.76857812086644
186307,288.894546390388
186308,288.7686286881531
186309,288.1929073485103
186310,287.3983177878829
186311,286.4751628401695
186312,285.79329895748236
186401,285.27241667183586
186402,285.55834348041606
186403,286.19693284993133
186404,287.34755342102716
186405,288.1402662361699
186406,288.6793388958343
186407,288.89636994564955
186408,288.63982866529165
186409,288.09531807888095
186410,287.3285458326255
186411,286.5475732182902
186412,285.7788904482613
186501,285.428634236843
186502,285.5640885222437
186503,286.04531720434335
186504,287.1474982437162
186505,288.0177120615242
186506,288.6889549973387
186507,288.99095387106917
186508,288.8192434665304
186509,288.0890211787537
186510,287.57280141495596
186511,286.6510295168442
186512,285.9565140148542
186601,285.73860018132814
186602,285.7466999820976
186603,286.41961356705883
186604,287.2676352626477
186605,288.26398857687246
186606,288.84390842261934
186607,289.13796910111375
186608,288.88915784203857
186609,288.21042012260926
186610,287.52747026597757
186611,286.6918871118398
186612,286.023596230547
186701,285.77741616205867
186702,285.8027479567087
186703,286.3351217218984
186704,287.2857565412299
186705,288.20754899601036
186706,288.9716599698797
186707,289.20934285172274
186708,288.8968200801908
186709,288.3952014746236
186710,287.69842343704715
186711,286.87373535037534
186712,286.13031207000887
186801,285.75637800488875
186802,286.05819890091243
186803,286.46917941588447
186804,287.4507086540418
186805,288.24483496761974
186806,289.05165850813484
186807,289.1812718437233
186808,289.0051057439796
186809,288.24240825780396
186810,287.4618496948304
186811,286.4749729263569
186812,285.8187367846906
186901,285.33002822461367
186902,285.4841985773516
186903,286.1587494919859
186904,287.17923642478934
186905,288.02138549708167
186906,288.5890670220861
186907,288.8760460858096
186908,288.5631188727408
186909,288.0699648432649
186910,287.2695390609435
186911,286.3349772801736
186912,285.4829289692287
187001,285.0721566080496
187002,285.2412314335282
187003,285.9468129417393
187004,286.9009244274499
187005,287.89145458219525
187006,288.38024507496027
187007,288.70202086472085
187008,288.4255146808131
187009,287.82792344163823
187010,287.2716907212131
187011,286.32681182130665
187012,285.60232988829705
187101,285.55156763262283
187102,285.6372275337475
187103,286.150866902823
187104,287.10706781210365
187105,288.09327034193814
187106,288.57881907330756
187107,289.0228129953904
187108,288.8705228428137
187109,288.18245161338854
187110,287.5061264113871
187111,286.52028410249557
187112,285.7859074465854
187201,285.5208184912335
187202,285.5861387878456
187203,286.15007403380633
187204,287.16096143989023
187205,288.18269719518054
187206,288.841382237826
187207,289.09873623700616
187208,288.7864700988149
187209,288.19473407270266
187210,287.3801046592438
187211,286.7359760370784
187212,285.8661046050374
187301,285.8062713063079
187302,285.69535434727374
187303,286.30957709660834
187304,287.2161315339654
187305,288.1634883713198
187306,288.8281899483136
187307,289.0040771930455
187308,288.71109179398957
187309,288.11963452817594
187310,287.42336863173443
187311,286.7819887022237
187312,285.91903490983856
187401,285.48860211907765
187402,285.7226938755062
187403,286.07637214240225
187404,287.46310361113433
187405,288.2066269568372
187406,288.75809056206725
187407,288.991861093712
187408,288.7375365241458
187409,288.0554652796293
187410,287.4736107517459
187411,286.6202325729896
187412,285.8180042069429
187501,285.38036041477443
187502,285.23562833895335
187503,285.9517763999256
187504,287.01523294868286
187505,287.9544160702179
187506,288.6025142905054
187507,288.963874355184
187508,288.6300425192908
187509,288.0718973300467
187510,287.1257861310953
187511,286.4525952954434
187512,285.57150285092143
187601,285.2585007326482
187602,285.4105304336431
187603,285.9747644652595
187604,287.0766497114811
187605,287.9732008288269
187606,288.7755683346582
187607,289.0589231080946
187608,288.6657914404967
187609,288.0373576371721
187610,287.292469960544
187611,286.3183559068031
