,model,run,lin_grad,r,p,mean_omm,resid_grad,ks_stat,ks_pval
0,ACCESS-CM2,r1i1p1f1_gn,0.5499566769546217,0.9499547785220455,9.41002835184624e-19,-0.7973445214685962,0.13130458430663958,0.16666666666666666,0.706866891160545
1,ACCESS-ESM1-5,r1i1p1f1_gn,1.0510156673008872,0.967416289782649,7.308314197573787e-22,5.806944366177866,-0.3697544060396259,0.3888888888888889,0.008095782390485192
2,BCC-CSM2-MR,r1i1p1f1_gn,1.4547482879082054,0.9695905587502558,2.297146138888193e-22,11.956228557607481,-0.7734870266469441,0.5,0.00018725837572722094
3,BCC-CSM2-MR,r2i1p1f1_gn,0.8849737731569676,0.9743808821742834,1.2928713247236096e-23,4.758858922502348,-0.20371251189570633,0.3888888888888889,0.008095782390485192
4,BCC-CSM2-MR,r3i1p1f1_gn,0.5146365114150897,0.9273741425161823,4.433878197570687e-16,-0.9990029804349442,0.1666247498461715,0.2777777777777778,0.12469435207968083
5,BCC-ESM1,r1i1p1f1_gn,0.4591228120115273,0.9267280030401184,5.128455674554319e-16,-1.9362979746054119,0.22213844924973397,0.3333333333333333,0.03593229829749474
6,BCC-ESM1,r2i1p1f1_gn,0.5497812698399852,0.9208616372611272,1.814215517569164e-15,-0.4282039486226605,0.13147999142127606,0.25,0.2122866675915156
7,BCC-ESM1,r3i1p1f1_gn,0.8489107702766453,0.9627888013805919,6.742701126107602e-21,2.430491267026414,-0.16764950901538403,0.25,0.2122866675915156
8,CAMS-CSM1-0,r1i1p1f1_gn,0.890890637745882,0.968012019237549,5.364975630683483e-22,6.520409523660225,-0.20962937648462052,0.5,0.00018725837572722094
9,CESM2,r11i1p1f1_gr,0.40072944224362606,0.8996862003464356,8.646535609820365e-14,-2.069513626892625,0.28053181901763524,0.3611111111111111,0.01759952462994868
10,CESM2,r2i1p1f1_gr,0.5162494567192928,0.9668796203855716,9.608175371208055e-22,-0.03786188576607236,0.1650118045419685,0.16666666666666666,0.706866891160545
11,CESM2,r4i1p1f1_gr,0.5701415467805959,0.9532285489787661,3.0554982951267894e-19,0.7016516068595483,0.11111971448066535,0.19444444444444445,0.5100108838989977
12,CESM2,r6i1p1f1_gr,0.6027781907502597,0.9510429535504465,6.530357061267235e-19,1.6401095142440167,0.07848307051100173,0.2777777777777778,0.12469435207968083
13,CESM2,r8i1p1f1_gr,1.7099412936731655,0.9712538056936919,8.942160445298329e-23,17.50157988076172,-1.0286800324119043,0.6388888888888888,3.204766398817089e-07
14,CIESM,r1i1p1f1_gn,0.9758583994848387,0.96517674807546,2.2239491918910544e-21,6.523005453710042,-0.2945971382235775,0.4444444444444444,0.0014103512403408932
15,CMCC-CM2-SR5,r1i1p1f1_gn,0.9411968432913417,0.9639484580408326,3.971513153390494e-21,5.692200413228025,-0.2599355820300803,0.4444444444444444,0.0014103512403408932
16,CMCC-ESM2,r1i1p1f1_gn,0.8501060622079032,0.9492820655941363,0.0037932322093160178,4.901125301633559,1.1356082235063827,0.6666666666666666,0.14285714285714285
17,CNRM-CM6-1,r10i1p1f2_gn,0.9864445890699114,0.8779645842158863,0.021430249136051096,5.109004725728713,0.9992696966443743,0.6666666666666666,0.14285714285714285
18,CNRM-CM6-1,r1i1p1f2_gn,1.3172496931893485,0.9339942270513353,0.006391357370079981,6.547211994443619,0.6684645925249372,0.6666666666666666,0.14285714285714285
19,CNRM-CM6-1,r2i1p1f2_gn,0.9613961900983538,0.925594450979889,0.008098317118303836,5.116028497332615,1.024318095615932,0.6666666666666666,0.14285714285714285
20,CNRM-CM6-1,r3i1p1f2_gn,1.124737957545689,0.9256604940652022,0.008084129698294813,4.712026625587824,0.8609763281685965,0.6666666666666666,0.14285714285714285
21,CNRM-CM6-1,r4i1p1f2_gn,0.9033201898847307,0.9514371094320935,0.0034802672585912747,5.661621123268488,1.0823940958295548,0.8333333333333334,0.025974025974025972
22,CNRM-CM6-1,r5i1p1f2_gn,1.1633140870503016,0.9521932701030221,0.0033735943908096266,4.15263121298381,0.8224001986639841,0.6666666666666666,0.14285714285714285
23,CNRM-CM6-1,r6i1p1f2_gn,1.3513870716094971,0.9145179421980029,0.010648456823241725,6.6697413024448196,0.6343272141047884,0.6666666666666666,0.14285714285714285
24,CNRM-CM6-1,r7i1p1f2_gn,1.1949679442814418,0.9297184906464855,0.00723565840962024,6.349523693039301,0.7907463414328437,0.6666666666666666,0.14285714285714285
25,CNRM-CM6-1,r8i1p1f2_gn,0.9338641098567418,0.9643975610840122,0.0018787368403554673,5.409598896616978,1.051850175857544,0.8333333333333334,0.025974025974025972
26,CNRM-CM6-1,r9i1p1f2_gn,1.2456984826496669,0.9603667940200937,0.0023250587824193915,5.163032938752853,0.7400158030646188,0.6666666666666666,0.14285714285714285
27,CNRM-ESM2-1,r2i1p1f2_gn,1.2281013216291154,0.9642540862945892,0.001893817985678946,6.220941811516169,0.7576129640851701,0.8333333333333334,0.025974025974025972
28,CNRM-ESM2-1,r3i1p1f2_gn,0.9657825742449079,0.9412234913835485,0.005080489993117135,5.418248523984634,1.0199317114693778,0.8333333333333334,0.025974025974025972
29,CNRM-ESM2-1,r4i1p1f2_gn,0.8840320995875768,0.946622433050579,0.004197706241640421,5.492889433815363,1.1016821861267088,0.8333333333333334,0.025974025974025972
30,CNRM-ESM2-1,r5i1p1f2_gn,0.2686515926931202,0.8536502388411749,3.676864710521702e-11,-4.827900489124044,0.41260966856814096,0.5833333333333334,5.222243150834323e-06
