,component,period start,period end,TSLS,T0,Srate0,sigmaTSLS,TSLS_P5,TSLS_P17,TSLS_P50,TSLS_P83,TSLS_P95,sigmaT0,sigmaSrate0
0,GMSL,1850,2018,0.0033887879285282086,-1.0726833286387738,0.0036004368737527575,0.00042171527696620856,0.0027346099047138744,0.0029782663274478057,0.0033840890048526815,0.003782991381213824,0.004106118966789402,0.10245772701429963,0.0002672842372158611
1,Steric,1901,2018,0.0014051156016221533,-1.0588032000604322,0.0014231161807916957,0.00048676091016880196,0.0006145073234958328,0.0009502354222220015,0.0014019402803303145,0.0018705732408067777,0.0021817895751455496,1.0314213654122524,0.0003417115526318252
2,GIC,1850,2018,0.0001718404540829109,-5.985908836021121,0.0006093999932171166,0.00010257531684639257,1.5698782417172858e-05,7.149494993987332e-05,0.00016777656603498203,0.00026928781527723613,0.0003469490039590473,56.89654125990688,3.107123636319507e-05
3,GrIS,1901,2018,0.00045931262594277073,-1.3798069291370954,0.0005684407802373099,0.0001443893433978824,0.00021893866303323775,0.00032328964459521286,0.0004593958310052461,0.0005986976068762657,0.000706697188543523,0.5742900923010875,6.136912253765171e-05
4,AIS,1901,2018,0.0004297111280631156,-1.0107901390612914,0.00033891182463753177,0.00016303603445416714,0.0001615472730573167,0.0002731578471360555,0.0004249555437460643,0.0005860186823096983,0.0006937605813000866,2.446294092473138,6.945713448192746e-05
5,All but GIC,1850,2018,0.0032255171974469965,-0.9413730893460536,0.0030003012767465947,0.0004600358559892601,0.002492252351064416,0.0027796906838067894,0.0032142434822130927,0.003647650793131779,0.003989578710084312,0.10227599460568436,0.00027217254977360495
