,ice_component,model_key,startyr,endyr,Tmin,Tmax,Npts,TSLS,BalanceT,Intercept
0,WAIS,sample1,2016,2050,0.6375791256624604,0.9483791256624604,6,1.0610971062107317e-05,-12.248558562529201,0.00012996910045952415
1,WAIS,sample1,2051,2100,0.5736845542338889,3.048222554233889,6,0.0005433199975424768,0.07709804322591125,-4.188890865603187e-05
2,WAIS,sample2,2016,2050,0.4738505542338889,0.7285476970910318,6,0.0001510380829964376,0.6585572613841518,-9.946722630284617e-05
3,WAIS,sample2,2051,2100,0.4085485542338889,2.300254554233889,6,0.00023628351047431844,0.7803968438210351,-0.0001843949058211126
4,WAIS,sample3,2016,2050,0.443433411376746,0.6347705542338891,6,-4.4189813832960725e-05,8.267927873124341,0.00036535819349771154
5,WAIS,sample3,2051,2100,0.4080605542338889,1.8892985542338894,6,0.0005857503038667526,-1.1066804035273663,0.0006482383826495352
6,WAIS,sample4,2016,2050,0.6273591256624602,0.7020619828053175,6,7.516168955099433e-05,-1.4707851571931978,0.00011054669738116553
7,WAIS,sample4,2051,2100,1.3391125542338889,2.5444245542338892,6,-0.0002240006027060456,4.128481941802754,0.0009247824432248423
8,WAIS,sample5,2016,2050,0.7777905542338891,0.997613411376746,6,1.9203497156979375e-05,-1.5034547754916705,2.8871589506801357e-05
9,WAIS,sample5,2051,2100,0.9348925542338888,3.316148554233888,6,0.0003126103373573502,1.2063981613708397,-0.0003771325362134252
10,WAIS,sample6,2016,2050,0.4467591256624603,0.5915162685196032,6,0.0005513540923146054,0.3291330645213142,-0.00018146886203987362
11,WAIS,sample6,2051,2100,0.4442405542338889,1.6333705542338888,6,0.0005319504161730327,0.6454716629680181,-0.00034335891974373667
12,WAIS,sample7,2016,2050,0.4752848399481746,0.7242848399481746,6,-0.0009479855191358212,0.6248182403981365,0.0005923186439893577
13,WAIS,sample7,2051,2100,0.4380965542338889,2.2759905542338887,6,0.00045320739358883054,0.7954277351918201,-0.00036049373065455127
14,WAIS,sample8,2016,2050,0.6108876970910319,0.8007476970910318,6,0.00015317673535172476,-0.19515043371917248,2.9892506339575988e-05
15,WAIS,sample8,2051,2100,0.6821685542338889,2.570126554233889,6,4.5761817979271995e-05,-8.996827461612934,0.00041171118068924676
16,WAIS,sample9,2016,2050,0.6056848399481746,0.8348619828053175,6,-4.063727204879719e-05,1.7721919339268717,7.20170457416703e-05
17,WAIS,sample9,2051,2100,0.5815825542338889,2.710468554233889,6,0.00018040402030197514,-0.42339363316671297,7.63819135935347e-05
18,WAIS,sample10,2016,2050,0.5602591256624603,0.8121876970910318,6,3.549828277463488e-05,-12.902924525143549,0.0004580316634133172
19,WAIS,sample10,2051,2100,0.6333785542338891,2.5559365542338894,6,2.9573293476025108e-05,-59.05503955765146,0.0017464520160766987
20,WAIS,sample11,2016,2050,0.4552362685196032,0.6689134113767461,6,-5.7540040581723015e-05,4.306303049867589,0.00024778485224657867
21,WAIS,sample11,2051,2100,0.4395285542338889,2.0262785542338886,6,-0.00011545200765830622,10.40961872401137,0.0012018113806446084
22,WAIS,sample12,2016,2050,0.4720934113767461,0.7181191256624605,6,-0.00032996903153483854,0.9389959499583975,0.00030983958422290813
23,WAIS,sample12,2051,2100,0.44926455423388895,2.2730425542338892,6,0.0007816162975423897,0.6890547576904305,-0.0005385764285099627
24,WAIS,sample13,2016,2050,0.5440791256624603,0.8646476970910317,6,0.0001333979130847714,0.2815569924970432,-3.75591152135302e-05
25,WAIS,sample13,2051,2100,0.4521605542338889,2.8393425542338884,6,-7.051963250026076e-05,7.1812165376070975,0.0005064167511368476
26,WAIS,sample14,2016,2050,0.797813411376746,1.1040591256624606,6,0.00010923113684557212,-1.2892420777228113,0.0001408253778188101
27,WAIS,sample14,2051,2100,1.1894925542338892,4.0806445542338885,6,-5.7632569324379774e-05,19.22125021084964,0.0011077700352780412
28,WAIS,sample15,2016,2050,0.530293411376746,0.7363619828053174,6,-0.0005183594538625505,0.9434708124207106,0.0004890570150616564
29,WAIS,sample15,2051,2100,0.5808885542338891,2.2527425542338895,6,4.950835013872691e-05,-16.277924280095075,0.0008058931747906312
30,WAIS,sample16,2016,2050,0.5211362685196033,0.7867962685196032,6,9.936201306029532e-05,-0.97535781914855,9.691351636469938e-05
31,WAIS,sample16,2051,2100,0.5724245542338889,2.6773085542338895,6,0.00010934929882879561,-2.3236726139016195,0.0002540919710378168
32,WAIS,sample17,2016,2050,0.525753411376746,0.7460276970910318,6,0.0005872817022423902,0.5641442938456215,-0.00033131162119998776
33,WAIS,sample17,2051,2100,0.4939085542338888,2.2669505542338895,6,0.0001517620191371423,-1.000279147839561,0.00015180438317691184
34,WAIS,sample18,2016,2050,0.5422676970910318,0.9089791256624604,6,0.00016799901230712545,-0.20612409804223603,3.4628644883792743e-05
35,WAIS,sample18,2051,2100,0.3924305542338889,3.0103665542338884,6,-8.560805609789836e-05,9.890965838011352,0.0008467463583228721
36,WAIS,sample19,2016,2050,0.5739134113767461,0.7568534113767461,6,-0.0001277109880934634,1.2568899245579126,0.00016051865419000968
37,WAIS,sample19,2051,2100,0.6211665542338889,2.3723025542338894,6,0.000585206387731722,0.995144789664057,-0.000582365087629347
38,WAIS,sample20,2016,2050,0.4306248399481746,0.634013411376746,6,-8.704404719294794e-05,2.759987018432047,0.0002402404402843228
39,WAIS,sample20,2051,2100,0.3934205542338888,1.8908285542338887,6,0.0009463227199658713,0.5446550132720771,-0.0005154194136026797
