,model,scenario,startyr,endyr,Tavg,Tavg_ice,p,ice_sample,risk_averse,Steric,WAIS,EAIS,PEN,GIC,GrIS,AIS,GMSL
80,MRI-ESM2-0,SSP245,2016,2050,0.8586529664375462,0.923253411376746,1,14,False,0.0023916436606601895,0.0002880492647058824,-5.4361274509803916e-05,3.711323529411764e-05,0.0018465411764705887,0.0004742659313725491,0.0002708012254901961,0.004983251993993523
81,CanESM5,SSP245,2051,2100,2.601528119885387,2.474660554233889,1,14,False,0.0028190122160843653,0.0008237484693877548,0.0002035295918367346,7.665357142857137e-05,0.0016972185374149644,0.0008348761904761894,0.0011039316326530609,0.006455038576628581
82,CanESM5,SSP585,2016,2050,1.4087315429360387,1.1040591256624606,1,14,False,0.0032661315630759685,0.00016828897058823532,-0.00013876176470588235,4.207892156862744e-05,0.0021783549019607847,0.0006982183823529412,7.160612745098041e-05,0.006214310974840674
83,IPSL-CM6A-LR,SSP585,2051,2100,3.671343722873246,4.0806445542338885,1,14,False,0.00378455725989644,0.001084322959183673,-0.00019968554421768696,0.0001964967687074829,0.002804283333333332,0.0026888224489795905,0.0010811341836734689,0.010358797225882831
84,MRI-ESM2-0,SSP126,2016,2050,0.8199152760720949,0.5755734113767461,1,15,False,0.0027301699766210117,0.00010604191176470591,-2.7283823529411754e-05,1.5476960784313727e-05,0.001043750980392157,0.00030819068627450984,9.42350490196079e-05,0.004176346692307286
85,GFDL-ESM4,SSP126,2051,2100,0.8079829447541442,0.8410345542338888,1,15,False,0.0012667937969414297,0.0011095921768707476,-5.120119047619055e-05,0.00016794387755102034,0.0008542561224489784,4.06017006802719e-05,0.0012263348639455773,0.0033879864840162576
86,BCC-CSM2-MR,SSP245,2016,2050,0.7684900045579184,0.6112162685196033,1,15,False,0.001750354419272318,9.834632352941178e-05,1.825465686274509e-05,4.553088235294119e-05,0.0012756519607843141,0.0004047416666666668,0.00016213186274509806,0.003592879909468397
87,MIROC6,SSP245,2051,2100,1.3559386365224482,1.3114085542338887,1,15,False,0.0025366642266666643,0.0011053974489795915,0.0001609001700680272,0.00014565782312925163,0.0014650501700680266,0.0005625823129251697,0.0014119554421768703,0.00597625215183673
88,CMCC-ESM2,SSP585,2016,2050,0.7015816060980455,0.7363619828053174,1,15,False,0.001967497095808674,0.00015822205882352945,-7.106617647058858e-06,2.8206127450980397e-05,0.0013877041666666668,0.0002899049019607844,0.000179321568627451,0.003824427733063576
89,NorESM2-LM,SSP585,2051,2100,2.3402745335117743,2.2527425542338895,1,15,False,0.004725373066769512,0.0010025396258503394,0.0002007656462585034,8.954115646258501e-05,0.001905474149659863,0.0009557596938775504,0.0012928464285714278,0.008879453338878353
90,GFDL-ESM4,SSP126,2016,2050,0.6077209889131154,0.5834819828053176,1,16,False,0.001519267637850283,0.0002147759803921569,-1.1838235294117663e-06,5.195294117647059e-05,0.0010410252450980394,0.00033324142156862746,0.0002655450980392157,0.003159079402556165
91,BCC-CSM2-MR,SSP126,2051,2100,0.9830933164753332,0.8931105542338887,1,16,False,0.0007009734688197709,3.184336734693855e-05,0.000346012074829932,0.0002831926870748299,0.0006828261904761897,-0.00011818163265306133,0.0006610481292517005,0.0019266661558945998
92,INM-CM4-8,SSP245,2016,2050,0.5813349359816584,0.6573448399481745,1,16,False,0.001322711040381004,0.0001319924019607843,6.827573529411766e-05,2.277598039215686e-05,0.0012930541666666669,0.00034676004901960787,0.00022304411764705883,0.0031855693737143373
93,MRI-ESM2-0,SSP245,2051,2100,1.7955010330638288,1.5216985542338892,1,16,False,0.00354180128898886,-8.507312925170079e-05,6.196207482993195e-05,0.00026626411564625835,0.001407044727891155,0.0004454624149659863,0.00024315306122448953,0.0056374614930704905
94,CAMS-CSM1-0,SSP585,2016,2050,0.5451906525502181,0.7867962685196032,1,16,False,0.001048983292686208,0.0001999174019607843,6.889460784313734e-06,4.959975490196079e-05,0.0015654274509803927,0.0004352125,0.0002564066176470588,0.00330602986131366
95,MPI-ESM1-2-HR,SSP585,2051,2100,2.3403294780634383,2.6773085542338895,1,16,False,0.0030495363570172684,0.0006941806122448974,0.0006443537414965988,0.00032824982993197267,0.002325087414965985,0.001453171428571428,0.001666784183673469,0.008494579384228151
96,HadGEM3-GC31-MM,SSP126,2016,2050,1.0293956683322565,0.5750591256624604,1,17,False,0.003236666710082106,3.3477941176470884e-06,0.00028419877450980394,1.7679166666666675e-05,0.0010455098039215687,0.0003187178921568628,0.0003052257352941177,0.004906120141454655
97,GFDL-ESM4,SSP126,2051,2100,0.8079829447541442,0.763458554233889,1,17,False,0.0013748783031540155,0.0001535749999999999,0.00079681887755102,0.00015922363945578225,0.000489936904761904,0.0001056181972789114,0.0011096175170068022,0.003080050922201633
98,IPSL-CM6A-LR,SSP245,2016,2050,0.8807757423037211,0.6079905542338889,1,17,False,0.0026093592210850703,4.38404411764706e-05,0.0002621316176470589,1.886813725490197e-05,0.0011623502450980394,0.0004242852941176472,0.00032484019607843145,0.004520834956379188
99,GFDL-ESM4,SSP245,2051,2100,1.4098197525913747,1.2528885542338892,1,17,False,0.00237269774523529,0.00021937380952380932,0.0014089214285714275,0.00022233452380952367,0.0013555957482993186,0.0005240578231292507,0.0018506297619047605,0.00610298107856862
100,FGOALS-f3-L,SSP585,2016,2050,0.8322146242074382,0.7460276970910318,1,17,False,0.0023378694242291533,0.00010888235294117651,0.00024678480392156864,6.0290686274509816e-05,0.0015508294117647062,0.0004804262254901962,0.000415957843137255,0.0047850829046213105
101,INM-CM5-0,SSP585,2051,2100,2.2778668693829904,2.2669505542338895,1,17,False,0.0027932731385193316,0.00030380085034013594,0.0006796319727891155,0.00016826394557823118,0.0018314403061224466,0.0012518829931972776,0.0011516967687074827,0.007028293206546539
102,INM-CM4-8,SSP126,2016,2050,0.4655339702136985,0.6247219828053173,1,18,False,0.0010367464446854517,0.00016450318627450982,-1.3592892156862733e-05,-1.9503676470588238e-05,0.001057096323529412,0.00037160049019607837,0.00013140661764705886,0.0025968498760580013
103,INM-CM5-0,SSP126,2051,2100,0.726943907834027,0.7859225542338888,1,18,False,0.0006716098641974508,0.0010926045918367346,-0.0005734639455782309,-3.5097448979591786e-05,0.0009247477891156453,-4.06022108843539e-05,0.00048404319727891193,0.0020397986397076543
104,NESM3,SSP245,2016,2050,0.9283936687367031,0.7241591256624603,1,18,False,0.002431849766923386,0.00011333161764705884,2.4226470588235275e-05,-5.29877450980392e-06,0.0013102987745098045,0.00037465784313725503,0.00013225931372549022,0.004249065698295936
105,EC-Earth3-CC,SSP245,2051,2100,1.6428629007605196,1.5670185542338888,1,18,False,0.0022793944268159347,0.00039783690476190455,0.00030299489795918363,1.0658843537414985e-05,0.0011116656462585024,0.0004154073129251696,0.0007114906462585033,0.00451795803225811
