model,run,model_p,model_f,odm,grad,intercept,num_nan
UKESM1-0-LL,r19i1p1f2_gn,1,2,-1.4809853526129229,0.23519314377464373,-468.92735860471737,0
UKESM1-0-LL,r1i1p1f2_gn,1,2,-3.966988378979156,0.40733312464588844,-813.5415736126824,0
UKESM1-0-LL,r2i1p1f2_gn,1,2,-3.10773691540035,0.35951477823033456,-717.6433586481903,0
UKESM1-0-LL,r3i1p1f2_gn,1,2,-2.092290521546261,0.2523289700226434,-503.59611844154995,0
UKESM1-0-LL,r4i1p1f2_gn,1,2,-1.2152041280111243,0.22720596346078845,-452.78705650632816,0
UKESM1-0-LL,r5i1p1f3_gn,1,3,-3.784884700395058,0.4613435221945763,-920.7051350621155,0
UKESM1-0-LL,r6i1p1f3_gn,1,3,-4.147971560608073,0.36331087350768626,-726.2283326571345,0
UKESM1-0-LL,r7i1p1f3_gn,1,3,0.4222655486225518,0.1835532631913974,-364.3898450442798,0
UKESM1-0-LL,r8i1p1f2_gn,1,2,-2.0648922448860834,0.288185729900689,-574.8340304225055,0
UKESM1-0-LL,r9i1p1f2_gn,1,2,2.899022831634624,-0.09988289782746268,201.4162822637167,0
