,ice_source,region,sample,scenario,risk_averse,startyr,endyr,dTdt,Tavg,dSdt
0,AIS,,1,SSP119,False,2016,2050,0.013350056022408905,0.6375791256624604,0.00021358063725490198
1,AIS,,1,SSP119,False,2051,2100,-0.0060966578631452256,0.5736845542338889,0.0008849690476190466
2,AIS,,2,SSP119,False,2016,2050,0.007608095238095218,0.4738505542338889,-0.0002609688725490196
3,AIS,,2,SSP119,False,2051,2100,-0.004227279711884733,0.4085485542338889,-0.000552776870748299
4,AIS,,3,SSP119,False,2016,2050,0.006799523809523785,0.443433411376746,0.0003902132352941176
5,AIS,,3,SSP119,False,2051,2100,-0.003023505402160849,0.40806055423388893,0.0011268615646258494
6,AIS,,4,SSP119,False,2016,2050,0.022100532212884952,0.6273591256624602,0.0001731892156862745
7,AIS,,4,SSP119,False,2051,2100,0.012733421368547354,1.3391125542338889,0.0006375110544217685
8,AIS,,5,SSP119,False,2016,2050,0.02176571428571414,0.7777905542338891,0.00015487843137254907
9,AIS,,5,SSP119,False,2051,2100,-0.0025979783913565287,0.9348925542338888,0.0011328486394557823
10,AIS,,6,SSP119,False,2016,2050,0.0074538095238094884,0.44675912566246034,0.000216002205882353
11,AIS,,6,SSP119,False,2051,2100,-0.0021124177671068313,0.4442405542338889,-0.0006322452380952383
12,AIS,,7,SSP119,False,2016,2050,0.008258291316526582,0.4752848399481746,0.00012871617647058824
13,AIS,,7,SSP119,False,2051,2100,-0.0033001920768307193,0.4380965542338889,0.0005685401360544216
14,AIS,,8,SSP119,False,2016,2050,0.014405070028011124,0.6108876970910319,-2.140196078431322e-06
15,AIS,,8,SSP119,False,2051,2100,-0.002455140456182458,0.6821685542338889,0.00039856139455782296
16,AIS,,9,SSP119,False,2016,2050,0.014447086834733816,0.6056848399481746,2.207181372549022e-05
17,AIS,,9,SSP119,False,2051,2100,-0.0050748907563025,0.5815825542338889,0.0010677071428571426
18,AIS,,10,SSP119,False,2016,2050,0.011693949579831867,0.5602591256624603,0.0005708475490196077
19,AIS,,10,SSP119,False,2051,2100,-0.001575875150060014,0.6333785542338889,0.0020458
20,AIS,,11,SSP119,False,2016,2050,0.007326526610644228,0.4552362685196032,0.0003211387254901961
21,AIS,,11,SSP119,False,2051,2100,-0.0027307130852340794,0.4395285542338889,0.002829325680272108
22,AIS,,12,SSP119,False,2016,2050,0.0075954061624649545,0.4720934113767461,0.0001523710784313726
23,AIS,,12,SSP119,False,2051,2100,-0.002890060024009586,0.44926455423388895,-0.00030930561224489807
24,AIS,,13,SSP119,False,2016,2050,0.010093249299719852,0.5440791256624603,0.00018283700980392157
25,AIS,,13,SSP119,False,2051,2100,-0.005884883553421337,0.4521605542338889,0.0016922901360544214
26,AIS,,14,SSP119,False,2016,2050,0.024220336134453603,0.797813411376746,0.0002427539215686275
27,AIS,,14,SSP119,False,2051,2100,0.0030359231692676947,1.189492554233889,0.0021567110544217683
28,AIS,,15,SSP119,False,2016,2050,0.010783753501400501,0.530293411376746,0.0003891838235294119
29,AIS,,15,SSP119,False,2051,2100,-0.002124921968787501,0.580888554233889,0.0007051454081632648
30,AIS,,16,SSP119,False,2016,2050,0.010528123249299665,0.5211362685196033,0.00016391078431372553
31,AIS,,16,SSP119,False,2051,2100,-0.00207147659063624,0.5724245542338889,0.0007419530612244893
32,AIS,,17,SSP119,False,2016,2050,0.009650588235294076,0.525753411376746,0.0002809335784313726
33,AIS,,17,SSP119,False,2051,2100,-0.003955164465786291,0.4939085542338888,0.001535787925170068
34,AIS,,18,SSP119,False,2016,2050,0.009191540616246479,0.5422676970910318,8.757794117647056e-05
35,AIS,,18,SSP119,False,2051,2100,-0.0069740696278511064,0.3924305542338889,0.0003959319727891157
36,AIS,,19,SSP119,False,2016,2050,0.012839663865546141,0.5739134113767461,0.00029508480392156873
37,AIS,,19,SSP119,False,2051,2100,-0.0030318271308523237,0.6211665542338889,0.00018051683673469326
38,AIS,,20,SSP119,False,2016,2050,0.006304761904761882,0.43062483994817463,0.0003221666666666667
39,AIS,,20,SSP119,False,2051,2100,-0.0030123265306122274,0.39342055423388883,0.00031865391156462577
40,AIS,,21,SSP119,False,2016,2050,0.004956386554621853,0.40752769709103176,0.0002632421568627451
41,AIS,,21,SSP119,False,2051,2100,-0.00528036974789914,0.2519325542338889,0.0025583731292516997
42,AIS,,22,SSP119,False,2016,2050,0.025417366946778524,0.8234105542338889,0.00022344240196078428
43,AIS,,22,SSP119,False,2051,2100,-0.0005630828331332508,1.106442554233889,0.0005162253401360542
44,AIS,,23,SSP119,False,2016,2050,0.009997394957983156,0.5335619828053174,0.0001653188725490196
45,AIS,,23,SSP119,False,2051,2100,-0.005479054021608617,0.4495085542338888,0.0005243671768707482
46,AIS,,24,SSP119,False,2016,2050,0.013459747899159607,0.6312819828053174,5.431102941176472e-05
47,AIS,,24,SSP119,False,2051,2100,-0.006358645858343305,0.5510105542338889,0.0014775387755102034
48,AIS,,25,SSP119,False,2016,2050,0.012782997198879485,0.5833991256624604,0.0008233950980392158
49,AIS,,25,SSP119,False,2051,2100,-0.0032622040816326367,0.5984465542338889,0.003912670748299319
50,AIS,,26,SSP119,False,2016,2050,0.018718599439775788,0.7028648399481747,0.00011001740196078432
51,AIS,,26,SSP119,False,2051,2100,-0.0023489315726290387,0.820980554233889,0.0006330241496598636
52,AIS,,27,SSP119,False,2016,2050,0.01470963585434166,0.6353791256624602,0.0002174713235294118
53,AIS,,27,SSP119,False,2051,2100,-0.004625061224489771,0.6474645542338888,0.0013059756802721082
