,ice_source,region,sample,scenario,risk_averse,startyr,endyr,dTdt,Tavg,dSdt
0,AIS,WAIS,1,SSP119,False,2016,2050,0.013350056022408905,0.6375791256624604,0.0001186669117647059
1,AIS,WAIS,1,SSP119,False,2051,2100,-0.006096657863145226,0.5736845542338889,0.00025802721088435336
2,AIS,WAIS,2,SSP119,False,2016,2050,0.007608095238095218,0.4738505542338889,-6.711764705882352e-05
3,AIS,WAIS,2,SSP119,False,2051,2100,-0.004227279711884733,0.4085485542338889,-0.00031853520408163245
4,AIS,WAIS,3,SSP119,False,2016,2050,0.006799523809523785,0.443433411376746,0.00033000514705882353
5,AIS,WAIS,3,SSP119,False,2051,2100,-0.003023505402160849,0.40806055423388893,0.0008676687074829927
6,AIS,WAIS,4,SSP119,False,2016,2050,0.02210053221288494,0.6273591256624602,0.00020713137254901962
7,AIS,WAIS,4,SSP119,False,2051,2100,0.012733421368547354,1.3391125542338889,0.0006470823129251698
8,AIS,WAIS,5,SSP119,False,2016,2050,0.02176571428571414,0.7777905542338891,6.050588235294121e-05
9,AIS,WAIS,5,SSP119,False,2051,2100,-0.002597978391356528,0.9348925542338888,-0.00030892159863945575
10,AIS,WAIS,6,SSP119,False,2016,2050,0.0074538095238094884,0.44675912566246034,8.374117647058826e-05
11,AIS,WAIS,6,SSP119,False,2051,2100,-0.0021124177671068313,0.4442405542338889,-0.00036283826530612265
12,AIS,WAIS,7,SSP119,False,2016,2050,0.008258291316526582,0.4752848399481746,0.0001154389705882353
13,AIS,WAIS,7,SSP119,False,2051,2100,-0.0033001920768307193,0.4380965542338889,7.410527210884343e-05
14,AIS,WAIS,8,SSP119,False,2016,2050,0.014405070028011124,0.6108876970910319,6.772426470588238e-05
15,AIS,WAIS,8,SSP119,False,2051,2100,-0.002455140456182458,0.6821685542338889,0.0004444102040816324
16,AIS,WAIS,9,SSP119,False,2016,2050,0.014447086834733818,0.6056848399481746,5.382254901960785e-05
17,AIS,WAIS,9,SSP119,False,2051,2100,-0.0050748907563025,0.5815825542338889,0.0008777482993197275
18,AIS,WAIS,10,SSP119,False,2016,2050,0.01169394957983187,0.5602591256624603,0.0005078845588235296
19,AIS,WAIS,10,SSP119,False,2051,2100,-0.001575875150060013,0.633378554233889,0.00184635425170068
20,AIS,WAIS,11,SSP119,False,2016,2050,0.007326526610644228,0.4552362685196032,0.00018739681372549025
21,AIS,WAIS,11,SSP119,False,2051,2100,-0.0027307130852340794,0.4395285542338889,0.001650669217687074
22,AIS,WAIS,12,SSP119,False,2016,2050,0.0075954061624649545,0.4720934113767461,0.00015683112745098042
23,AIS,WAIS,12,SSP119,False,2051,2100,-0.002890060024009586,0.44926455423388895,-0.0003287989795918367
24,AIS,WAIS,13,SSP119,False,2016,2050,0.010093249299719852,0.5440791256624603,-1.6087009803921587e-05
25,AIS,WAIS,13,SSP119,False,2051,2100,-0.005884883553421337,0.4521605542338889,0.0007366222789115645
26,AIS,WAIS,14,SSP119,False,2016,2050,0.0242203361344536,0.797813411376746,0.00016037745098039218
27,AIS,WAIS,14,SSP119,False,2051,2100,0.0030359231692676956,1.189492554233889,0.0013872523809523806
28,AIS,WAIS,15,SSP119,False,2016,2050,0.010783753501400503,0.530293411376746,0.00032232132352941184
29,AIS,WAIS,15,SSP119,False,2051,2100,-0.0021249219687875004,0.580888554233889,0.0005618329931972787
30,AIS,WAIS,16,SSP119,False,2016,2050,0.010528123249299665,0.5211362685196033,0.0001182107843137255
31,AIS,WAIS,16,SSP119,False,2051,2100,-0.00207147659063624,0.5724245542338889,0.0008094365646258502
32,AIS,WAIS,17,SSP119,False,2016,2050,0.009650588235294076,0.525753411376746,-1.619656862745098e-05
33,AIS,WAIS,17,SSP119,False,2051,2100,-0.003955164465786291,0.4939085542338888,0.00023223452380952378
34,AIS,WAIS,18,SSP119,False,2016,2050,0.00919154061624648,0.5422676970910318,0.00010224191176470589
35,AIS,WAIS,18,SSP119,False,2051,2100,-0.0069740696278511064,0.3924305542338889,0.000720219727891156
36,AIS,WAIS,19,SSP119,False,2016,2050,0.012839663865546141,0.5739134113767461,0.00014832328431372554
37,AIS,WAIS,19,SSP119,False,2051,2100,-0.0030318271308523237,0.6211665542338889,-0.0006503921768707484
38,AIS,WAIS,20,SSP119,False,2016,2050,0.006304761904761882,0.43062483994817463,0.0002205227941176471
39,AIS,WAIS,20,SSP119,False,2051,2100,-0.0030123265306122274,0.39342055423388883,0.00015278945578231265
40,AIS,WAIS,21,SSP119,False,2016,2050,0.004956386554621853,0.40752769709103176,0.00011954877450980394
41,AIS,WAIS,21,SSP119,False,2051,2100,-0.00528036974789914,0.2519325542338889,0.0013797974489795915
42,AIS,WAIS,22,SSP119,False,2016,2050,0.025417366946778524,0.8234105542338889,0.00015265343137254908
43,AIS,WAIS,22,SSP119,False,2051,2100,-0.0005630828331332514,1.106442554233889,0.00031299047619047575
44,AIS,WAIS,23,SSP119,False,2016,2050,0.009997394957983156,0.5335619828053174,0.00015448186274509803
45,AIS,WAIS,23,SSP119,False,2051,2100,-0.005479054021608617,0.4495085542338888,0.00019397380952380943
46,AIS,WAIS,24,SSP119,False,2016,2050,0.013459747899159607,0.6312819828053174,0.00015314460784313728
47,AIS,WAIS,24,SSP119,False,2051,2100,-0.006358645858343305,0.5510105542338889,0.001079511054421768
48,AIS,WAIS,25,SSP119,False,2016,2050,0.012782997198879485,0.5833991256624604,-2.448431372549019e-05
49,AIS,WAIS,25,SSP119,False,2051,2100,-0.0032622040816326367,0.5984465542338889,-0.0002584964285714285
