,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
72,AIS,WAIS,37,SSP119,,2016,2050,0.4181768107707142,0.00045503137254901963
73,AIS,WAIS,37,SSP119,,2051,2100,0.29532309648499994,0.004259242176870749
74,AIS,WAIS,38,SSP119,,2016,2050,0.4763596679135712,0.0004039764705882353
75,AIS,WAIS,38,SSP119,,2051,2100,0.4119090964849999,0.0008293605442176871
76,AIS,WAIS,39,SSP119,,2016,2050,0.5340996679135713,0.00041765098039215677
77,AIS,WAIS,39,SSP119,,2051,2100,0.617879096485,0.0024629074829931982
78,AIS,WAIS,40,SSP119,,2016,2050,0.5615339536278571,0.00036140588235294117
79,AIS,WAIS,40,SSP119,,2051,2100,0.4992390964849999,0.00179771156462585
80,AIS,WAIS,41,SSP119,,2016,2050,0.45065681077071423,0.00034893137254901965
81,AIS,WAIS,41,SSP119,,2051,2100,0.380295096485,0.0014192897959183675
82,AIS,WAIS,42,SSP119,,2016,2050,0.4276653821992857,0.0003853156862745098
83,AIS,WAIS,42,SSP119,,2051,2100,0.4280250964849999,0.0017548149659863943
84,AIS,WAIS,43,SSP119,,2016,2050,0.4885025250564284,0.0001783
85,AIS,WAIS,43,SSP119,,2051,2100,0.4182190964849999,0.0016386394557823126
86,AIS,WAIS,44,SSP119,,2016,2050,0.656571096485,0.0006493549019607843
87,AIS,WAIS,44,SSP119,,2051,2100,0.708029096485,0.003256160544217688
88,AIS,WAIS,45,SSP119,,2016,2050,0.5292939536278571,0.00040174117647058825
89,AIS,WAIS,45,SSP119,,2051,2100,0.436357096485,0.0018070680272108844
90,AIS,WAIS,46,SSP119,,2016,2050,0.3029082393421427,0.0003354607843137255
91,AIS,WAIS,46,SSP119,,2051,2100,0.2359150964849999,0.0010749673469387753
92,AIS,WAIS,47,SSP119,,2016,2050,0.681893953627857,0.0003852098039215687
93,AIS,WAIS,47,SSP119,,2051,2100,0.7987950964849999,0.0012029823129251702
94,AIS,WAIS,48,SSP119,,2016,2050,0.7089996679135713,0.0005012431372549021
95,AIS,WAIS,48,SSP119,,2051,2100,0.8000970964849998,0.0013879700680272111
96,AIS,WAIS,49,SSP119,,2016,2050,0.4904396679135713,0.0007183764705882353
97,AIS,WAIS,49,SSP119,,2051,2100,0.5623270964849999,0.0038951387755102045
98,AIS,WAIS,50,SSP119,,2016,2050,0.406753953627857,0.0005624411764705881
99,AIS,WAIS,50,SSP119,,2051,2100,0.40010909648499987,0.003205575510204081
100,AIS,WAIS,51,SSP119,,2016,2050,0.6270882393421428,0.0005559745098039216
101,AIS,WAIS,51,SSP119,,2051,2100,0.6039050964849998,0.002558155102040816
102,AIS,WAIS,52,SSP119,,2016,2050,0.7191110964849999,0.0003089686274509803
103,AIS,WAIS,52,SSP119,,2051,2100,0.795415096485,0.0011873034013605442
104,AIS,WAIS,53,SSP119,,2016,2050,0.6688225250564285,0.00022314313725490197
105,AIS,WAIS,53,SSP119,,2051,2100,0.6492850964849999,0.0013204068027210885
106,AIS,WAIS,54,SSP119,,2016,2050,0.5491853821992857,0.0004022960784313725
107,AIS,WAIS,54,SSP119,,2051,2100,0.4715650964849999,0.0009367088435374149
108,AIS,WAIS,55,SSP119,,2016,2050,0.4781768107707142,0.0004381235294117647
109,AIS,WAIS,55,SSP119,,2051,2100,0.48098509648499993,0.002826410884353741
110,AIS,WAIS,56,SSP119,,2016,2050,0.5874310964849998,0.0004628941176470588
111,AIS,WAIS,56,SSP119,,2051,2100,0.5829530964849999,0.003686149659863946
112,AIS,WAIS,57,SSP119,,2016,2050,0.7368682393421429,0.00030448627450980386
113,AIS,WAIS,57,SSP119,,2051,2100,0.8036670964849999,0.0005847156462585035
114,AIS,WAIS,58,SSP119,,2016,2050,0.4849996679135714,0.00017307254901960785
115,AIS,WAIS,58,SSP119,,2051,2100,0.48080509648499986,0.0029940979591836737
116,AIS,WAIS,59,SSP119,,2016,2050,0.570053953627857,0.00041862941176470583
117,AIS,WAIS,59,SSP119,,2051,2100,0.6084710964849998,0.0025208380952380957
118,AIS,WAIS,60,SSP119,,2016,2050,0.4488082393421428,0.000354943137254902
119,AIS,WAIS,60,SSP119,,2051,2100,0.3603110964849999,0.0025739891156462582
120,AIS,WAIS,61,SSP119,,2016,2050,0.5045796679135713,0.0004341627450980392
121,AIS,WAIS,61,SSP119,,2051,2100,0.5904510964849998,0.0029065537414965986
122,AIS,WAIS,62,SSP119,,2016,2050,0.4523253821992856,0.00035645686274509797
123,AIS,WAIS,62,SSP119,,2051,2100,0.2861350964849999,0.0016132721088435375
124,AIS,WAIS,63,SSP119,,2016,2050,0.5394282393421428,0.0007846529411764707
125,AIS,WAIS,63,SSP119,,2051,2100,0.5595170964849998,0.003560593197278912
