,model,run,scenario,startyr,endyr,Tavg,dSdt
60,CanESM5,r15i1p1f1_gn,historical,1850,1900,-1.2866496852793148,-0.00031142296269536017
61,CanESM5,r15i1p1f1_gn,historical,1900,1950,-1.104745534443282,-0.00010727534070611
62,CanESM5,r15i1p1f1_gn,historical,1950,2000,-0.8567422278985077,0.000157210323959589
63,CanESM5,r15i1p1f1_gn,historical,1992,2014,-0.1018210315955912,0.0015263584527102384
64,CanESM5,r16i1p1f1_gn,historical,1850,1900,-1.235677332606599,-0.00020773716270923613
65,CanESM5,r16i1p1f1_gn,historical,1900,1950,-1.051793706057481,-0.00018051752820611
66,CanESM5,r16i1p1f1_gn,historical,1950,2000,-0.7683115450523701,0.000219466183334589
67,CanESM5,r16i1p1f1_gn,historical,1992,2014,-0.06866619749092706,0.0011952888559211385
68,CanESM5,r17i1p1f1_gn,historical,1850,1900,-1.2966652907122693,-0.0002824589982628822
69,CanESM5,r17i1p1f1_gn,historical,1900,1950,-1.1293747987351708,-9.466142393648624e-05
70,CanESM5,r17i1p1f1_gn,historical,1950,2000,-0.8652637393671512,0.0001767415925860405
71,CanESM5,r17i1p1f1_gn,historical,1992,2014,-0.07898568611858536,0.001368221826851368
72,CanESM5,r18i1p1f1_gn,historical,1850,1900,-1.367600495478655,-0.00026551710441708565
73,CanESM5,r18i1p1f1_gn,historical,1900,1950,-1.2089954053130896,-0.000145524051040411
74,CanESM5,r18i1p1f1_gn,historical,1950,2000,-0.877394607354006,0.0002019694447517395
75,CanESM5,r18i1p1f1_gn,historical,1992,2014,-0.0853306487632608,0.0013293811882084067
76,CanESM5,r19i1p1f1_gn,historical,1850,1900,-1.308222974465025,-0.00022726841270923615
77,CanESM5,r19i1p1f1_gn,historical,1900,1950,-1.1035113688931233,-0.0001251789927482605
78,CanESM5,r19i1p1f1_gn,historical,1950,2000,-0.8701221143310818,0.000177962277084589
79,CanESM5,r19i1p1f1_gn,historical,1992,2014,-0.09505679202129613,0.0014061375775120475
80,CanESM5,r1i1p1f1_gn,historical,1850,1900,-1.226793685526161,-0.0002841605432331562
81,CanESM5,r1i1p1f1_gn,historical,1900,1950,-1.0794076797890284,-0.0001670898124575615
