,model,run,scenario,startyr,endyr,Tavg,dSdt,r,i,p,f,model_key,probability_weight,counts
34,CAMS-CSM1-0,r1i1p1f1_gn,historical,1950,2000,-0.3272691527319012,0.00044392902404069904,1,1,1,1,CAMS-CSM1-0:p1:1950:2000:historical,0.0,1
35,CAMS-CSM1-0,r1i1p1f1_gn,historical,1992,2014,-0.04888084546018945,0.0019263066351413727,1,1,1,1,CAMS-CSM1-0:p1:1992:2014:historical,0.0,1
36,CanESM5,r10i1p1f1_gn,historical,1850,1900,-1.2666537880282362,5.7151094079017636e-05,10,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
37,CanESM5,r10i1p2f1_gn,historical,1850,1900,-1.2835501589461842,1.953125e-05,10,1,2,1,CanESM5:p1:1850:1900:historical,0.47671554418524115,35
38,CanESM5,r11i1p1f1_gn,historical,1850,1900,-1.2917429519634993,7.572062313556669e-05,11,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
39,CanESM5,r12i1p1f1_gn,historical,1850,1900,-1.3340899040367162,8.763164281845091e-05,12,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
40,CanESM5,r13i1p1f1_gn,historical,1850,1900,-1.3353263013372612,-1.9494220614433287e-05,13,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
41,CanESM5,r14i1p1f1_gn,historical,1850,1900,-1.2995628020014465,5.955547094345093e-06,14,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
42,CanESM5,r15i1p1f1_gn,historical,1850,1900,-1.2866496852793148,0.00010964132845401764,15,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
43,CanESM5,r16i1p1f1_gn,historical,1850,1900,-1.2356773326065993,3.491945564746857e-05,16,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
44,CanESM5,r17i1p1f1_gn,historical,1850,1900,-1.296665290712269,5.186140537261963e-05,17,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
45,CanESM5,r18i1p1f1_gn,historical,1850,1900,-1.3676004954786551,9.011007845401765e-05,18,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
46,CanESM5,r19i1p1f1_gn,historical,1850,1900,-1.308222974465025,3.321792930364609e-05,19,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
47,CanESM5,r1i1p1f1_gn,historical,1850,1900,-1.226793685526161,5.2453204989433286e-05,1,1,1,1,CanESM5:p1:1850:1900:historical,0.5111784829582484,35
48,CanESM5,r1i1p2f1_gn,historical,1850,1900,-1.3373386854718206,0.00010875351727008819,1,1,2,1,CanESM5:p1:1850:1900:historical,0.4653912433877927,35
49,CanESM5,r20i1p1f1_gn,historical,1850,1900,-1.2618771294214641,9.129375219345091e-05,20,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
50,CanESM5,r21i1p1f1_gn,historical,1850,1900,-1.3193661958821394,3.787882626056671e-05,21,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
51,CanESM5,r22i1p1f1_gn,historical,1850,1900,-1.3416342299285589,0.00017359882593154908,22,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
52,CanESM5,r23i1p1f1_gn,historical,1850,1900,-1.344260564507465,0.00010379679501056672,23,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
53,CanESM5,r24i1p1f1_gn,historical,1850,1900,-1.3444582420401616,0.00014452390372753142,24,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
54,CanESM5,r25i1p1f1_gn,historical,1850,1900,-1.2544712448702742,-3.898851573467255e-05,25,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
55,CanESM5,r2i1p1f1_gn,historical,1850,1900,-1.1663750400281288,3.7915781140327456e-05,2,1,1,1,CanESM5:p1:1850:1900:historical,0.41083483218395134,35
56,CanESM5,r2i1p2f1_gn,historical,1850,1900,-1.2636798138531729,-2.8926953673362734e-05,2,1,2,1,CanESM5:p1:1850:1900:historical,0.4493872221331056,35
57,CanESM5,r3i1p1f1_gn,historical,1850,1900,-1.2234106377076728,0.00010753281414508819,3,1,1,1,CanESM5:p1:1850:1900:historical,0.41743333554415457,35
58,CanESM5,r3i1p2f1_gn,historical,1850,1900,-1.2123136062780873,0.000145263671875,3,1,2,1,CanESM5:p1:1850:1900:historical,0.416764134967413,35
59,CanESM5,r4i1p1f1_gn,historical,1850,1900,-1.3712314064556494,5.3599998354911795e-05,4,1,1,1,CanESM5:p1:1850:1900:historical,0.6228991975719911,35
60,CanESM5,r4i1p2f1_gn,historical,1850,1900,-1.2666179030567832,-1.1836737394332886e-06,4,1,2,1,CanESM5:p1:1850:1900:historical,0.4713047891454392,35
61,CanESM5,r5i1p1f1_gn,historical,1850,1900,-1.2025996045201168,3.835961222648621e-05,5,1,1,1,CanESM5:p1:1850:1900:historical,0.4635417521098657,35
62,CanESM5,r5i1p2f1_gn,historical,1850,1900,-1.3262200327925484,9.595461189746855e-05,5,1,2,1,CanESM5:p1:1850:1900:historical,0.47560552187911986,35
