,model,run,scenario,startyr,endyr,Tavg,dSdt
61,CanESM5,r15i1p1f1_gn,historical,1900,1950,-1.104745534443282,0.000137125663459301
62,CanESM5,r15i1p1f1_gn,historical,1950,2000,-0.8567422278985077,0.000537109375
63,CanESM5,r15i1p1f1_gn,historical,1992,2014,-0.1018210315955912,0.0015129321678118272
64,CanESM5,r16i1p1f1_gn,historical,1850,1900,-1.235677332606599,3.491945564746857e-05
65,CanESM5,r16i1p1f1_gn,historical,1900,1950,-1.051793706057481,0.000222981795668602
66,CanESM5,r16i1p1f1_gn,historical,1950,2000,-0.7683115450523701,0.000494384765625
67,CanESM5,r16i1p1f1_gn,historical,1992,2014,-0.06866619749092706,0.001685864884744991
68,CanESM5,r17i1p1f1_gn,historical,1850,1900,-1.2966652907122693,5.186140537261963e-05
69,CanESM5,r17i1p1f1_gn,historical,1900,1950,-1.1293747987351708,0.00017211910337209703
70,CanESM5,r17i1p1f1_gn,historical,1950,2000,-0.8652637393671512,0.000519612655043602
71,CanESM5,r17i1p1f1_gn,historical,1992,2014,-0.07898568611858536,0.0016470243307677183
72,CanESM5,r18i1p1f1_gn,historical,1850,1900,-1.367600495478655,9.011007845401765e-05
73,CanESM5,r18i1p1f1_gn,historical,1900,1950,-1.2089954053130896,0.000192464180290699
74,CanESM5,r18i1p1f1_gn,historical,1950,2000,-0.877394607354006,0.00049560546875
75,CanESM5,r18i1p1f1_gn,historical,1992,2014,-0.0853306487632608,0.0017237808894027364
76,CanESM5,r19i1p1f1_gn,historical,1850,1900,-1.308222974465025,3.321792930364609e-05
77,CanESM5,r19i1p1f1_gn,historical,1900,1950,-1.1035113688931233,0.000150553397834301
78,CanESM5,r19i1p1f1_gn,historical,1950,2000,-0.8701221143310818,0.000445556640625
79,CanESM5,r19i1p1f1_gn,historical,1992,2014,-0.09505679202129613,0.001645174893465909
80,CanESM5,r1i1p1f1_gn,historical,1850,1900,-1.226793685526161,5.2453204989433286e-05
81,CanESM5,r1i1p1f1_gn,historical,1900,1950,-1.0794076797890284,0.00010986331850290298
82,CanESM5,r1i1p1f1_gn,historical,1950,2000,-0.7512275893404876,0.0005118814855813981
83,CanESM5,r1i1p1f1_gn,historical,1992,2014,-0.08527174833250228,0.001701586117798632
84,CanESM5,r1i1p2f1_gn,historical,1850,1900,-1.3373386854718206,0.00010875351727008819
85,CanESM5,r1i1p2f1_gn,historical,1900,1950,-1.0963456115773056,0.000143229179084301
86,CanESM5,r1i1p2f1_gn,historical,1950,2000,-0.8237362061670979,0.000507405586540699
87,CanESM5,r1i1p2f1_gn,historical,1992,2014,-0.09184437940854195,0.0016618208451704545
88,CanESM5,r20i1p1f1_gn,historical,1850,1900,-1.261877129421464,9.129375219345093e-05
89,CanESM5,r20i1p1f1_gn,historical,1900,1950,-1.1143645019372457,0.000190022811293602
90,CanESM5,r20i1p1f1_gn,historical,1950,2000,-0.8192337250844162,0.000502522774040699
91,CanESM5,r20i1p1f1_gn,historical,1992,2014,-0.08776946429162535,0.0017145330255681818
92,CanESM5,r21i1p1f1_gn,historical,1850,1900,-1.3193661958821394,3.787882626056671e-05
93,CanESM5,r21i1p1f1_gn,historical,1900,1950,-1.0818879943570892,0.000243326798081398
94,CanESM5,r21i1p1f1_gn,historical,1950,2000,-0.7958895024945605,0.000543619804084301
95,CanESM5,r21i1p1f1_gn,historical,1992,2014,-0.0915681280544618,0.0016978870738636363
96,CanESM5,r22i1p1f1_gn,historical,1850,1900,-1.3416342299285589,0.00017359882593154908
97,CanESM5,r22i1p1f1_gn,historical,1900,1950,-1.2051596453334241,0.00015299476683139801
98,CanESM5,r22i1p1f1_gn,historical,1950,2000,-0.7992484066249403,0.000567626953125
99,CanESM5,r22i1p1f1_gn,historical,1992,2014,-0.08448050373885962,0.0016701438210227273
100,CanESM5,r23i1p1f1_gn,historical,1850,1900,-1.344260564507465,0.00010379679501056672
101,CanESM5,r23i1p1f1_gn,historical,1900,1950,-1.135732044118697,0.000214843712747097
102,CanESM5,r23i1p1f1_gn,historical,1950,2000,-0.8826627668075275,0.00047119140625
103,CanESM5,r23i1p1f1_gn,historical,1992,2014,-0.07886082113054727,0.0015471487898718226
104,CanESM5,r24i1p1f1_gn,historical,1850,1900,-1.3444582420401616,0.00014452390372753142
105,CanESM5,r24i1p1f1_gn,historical,1900,1950,-1.2113605177268028,0.000142008438706398
106,CanESM5,r24i1p1f1_gn,historical,1950,2000,-0.8432769440527181,0.000548909492790699
107,CanESM5,r24i1p1f1_gn,historical,1992,2014,-0.08513442879120703,0.0016932631419463592
108,CanESM5,r25i1p1f1_gn,historical,1850,1900,-1.254471244870274,-3.8988515734672545e-05
109,CanESM5,r25i1p1f1_gn,historical,1900,1950,-1.0830521263163178,0.000227864608168602
110,CanESM5,r25i1p1f1_gn,historical,1950,2000,-0.8405987832784376,0.000464680977165699
111,CanESM5,r25i1p1f1_gn,historical,1992,2014,-0.07282582557428441,0.0017182320695031774
112,CanESM5,r2i1p1f1_gn,historical,1850,1900,-1.1663750400281288,3.7915781140327456e-05
113,CanESM5,r2i1p1f1_gn,historical,1900,1950,-1.0545079036488687,0.000250244177877903
114,CanESM5,r2i1p1f1_gn,historical,1950,2000,-0.7095648714407616,0.000419514961540699
115,CanESM5,r2i1p1f1_gn,historical,1992,2014,-0.07092881647616878,0.0016830907287922773
116,CanESM5,r2i1p2f1_gn,historical,1850,1900,-1.263679813853173,-2.8926953673362734e-05
117,CanESM5,r2i1p2f1_gn,historical,1900,1950,-1.064064111909488,0.000218098945915699
118,CanESM5,r2i1p2f1_gn,historical,1950,2000,-0.744426527870985,0.000509033203125
119,CanESM5,r2i1p2f1_gn,historical,1992,2014,-0.09465016357341938,0.0016497988253831863
120,CanESM5,r3i1p1f1_gn,historical,1850,1900,-1.2234106377076728,0.00010753281414508819
121,CanESM5,r3i1p1f1_gn,historical,1900,1950,-1.0931343228135688,8.6263008415699e-05
122,CanESM5,r3i1p1f1_gn,historical,1950,2000,-0.756570242270584,0.000476888045668602
123,CanESM5,r3i1p1f1_gn,historical,1992,2014,-0.08934724866145416,0.001563794572244991
124,CanESM5,r3i1p2f1_gn,historical,1850,1900,-1.2123136062780873,0.000145263671875
125,CanESM5,r3i1p2f1_gn,historical,1900,1950,-1.0402274805014144,0.000153401680290699
126,CanESM5,r3i1p2f1_gn,historical,1950,2000,-0.8208023473918047,0.000498046875
127,CanESM5,r3i1p2f1_gn,historical,1992,2014,-0.09742039928744362,0.0016969621858813546
128,CanESM5,r4i1p1f1_gn,historical,1850,1900,-1.3712314064556494,5.35999983549118e-05
129,CanESM5,r4i1p1f1_gn,historical,1900,1950,-1.1439847652785033,0.000216878242790699
130,CanESM5,r4i1p1f1_gn,historical,1950,2000,-0.8751506462050997,0.00041219078004360197
131,CanESM5,r4i1p1f1_gn,historical,1992,2014,-0.10033181301793093,0.0017505992542613637
132,CanESM5,r4i1p2f1_gn,historical,1850,1900,-1.2666179030567832,-1.1836737394332886e-06
133,CanESM5,r4i1p2f1_gn,historical,1900,1950,-1.161210821857992,0.000190022774040699
134,CanESM5,r4i1p2f1_gn,historical,1950,2000,-0.7612913660148024,0.000493570938706398
135,CanESM5,r4i1p2f1_gn,historical,1992,2014,-0.07864922364223048,0.0017173073508522727
136,CanESM5,r5i1p1f1_gn,historical,1850,1900,-1.2025996045201168,3.8359612226486206e-05
137,CanESM5,r5i1p1f1_gn,historical,1900,1950,-1.1393737989926649,0.000195719413459301
138,CanESM5,r5i1p1f1_gn,historical,1950,2000,-0.7957154112411331,0.000537109375
139,CanESM5,r5i1p1f1_gn,historical,1992,2014,-0.08035332832537279,0.0016433254561641
