,model,p,scenario,startyr,endyr,Tavg,dSdt,model_key,probability_weight
41,CESM2,1,historical,1850,1900,-0.8784303445675163,0.00024023437872529034,CESM2:p1:1850:1900:historical,0.0
42,CESM2,1,historical,1900,1950,-0.7586826913190521,0.0003093261830508709,CESM2:p1:1900:1950:historical,0.0
43,CESM2,1,historical,1950,2000,-0.5821036945145466,0.0004499511644244193,CESM2:p1:1950:2000:historical,0.0
44,CESM2,1,historical,1992,2014,-0.06491576909189689,0.0015639796514402735,CESM2:p1:1992:2014:historical,0.0
45,CESM2-WACCM,1,SSP245,2016,2050,0.7201008996327687,0.003881117876838235,CESM2-WACCM:p1:2016:2050:SSP245,821.918893171079
46,CESM2-WACCM,1,SSP245,2051,2100,1.9375974559903284,0.0044435256597947104,CESM2-WACCM:p1:2051:2100:SSP245,166.44170807842676
47,CESM2-WACCM,1,SSP585,2016,2050,1.0016669802136562,0.003960703225696788,CESM2-WACCM:p1:2016:2050:SSP585,537.1944145902805
48,CESM2-WACCM,1,SSP585,2051,2100,3.510769537195017,0.007423867984693877,CESM2-WACCM:p1:2051:2100:SSP585,76.62017339531053
49,CIESM,1,SSP245,2016,2050,1.007616937178739,0.0019626992152017705,CIESM:p1:2016:2050:SSP245,244.1678951584361
50,CIESM,1,SSP245,2051,2100,2.130034080540838,0.0026016752330624325,CIESM:p1:2051:2100:SSP245,94.24183106341269
51,CIESM,1,SSP585,2016,2050,0.9812230355915404,0.002330705085221459,CIESM:p1:2016:2050:SSP585,577.3800958674967
52,CIESM,1,SSP585,2051,2100,3.8513925991128986,0.00420685811918609,CIESM:p1:2051:2100:SSP585,49.50587982769055
53,CIESM,1,historical,1850,1900,-1.209504024469254,0.0004305383563041687,CIESM:p1:1850:1900:historical,49.50587982769055
54,CIESM,1,historical,1900,1950,-0.9317298020798148,0.0007145182043313981,CIESM:p1:1900:1950:historical,49.50587982769055
55,CIESM,1,historical,1950,2000,-0.5067673330003686,0.000763346329331398,CIESM:p1:1950:2000:historical,49.50587982769055
56,CIESM,1,historical,1992,2014,-0.06408262355142824,0.001854174177755009,CIESM:p1:1992:2014:historical,49.50587982769055
57,CMCC-CM2-SR5,1,SSP126,2016,2050,0.7288889457737469,0.002112893497242647,CMCC-CM2-SR5:p1:2016:2050:SSP126,703.9974111906471
58,CMCC-CM2-SR5,1,SSP126,2051,2100,1.566787788612885,0.0018746513797312367,CMCC-CM2-SR5:p1:2051:2100:SSP126,53.127253347514994
59,CMCC-CM2-SR5,1,SSP245,2016,2050,0.6999136383324185,0.0020542519495767705,CMCC-CM2-SR5:p1:2016:2050:SSP245,845.8817222451214
60,CMCC-CM2-SR5,1,SSP245,2051,2100,2.1256501261262883,0.002603751664258996,CMCC-CM2-SR5:p1:2051:2100:SSP245,95.55053395880452
61,CMCC-CM2-SR5,1,SSP585,2016,2050,0.9054922689683168,0.00254492658902617,CMCC-CM2-SR5:p1:2016:2050:SSP585,713.1889386946705
62,CMCC-CM2-SR5,1,SSP585,2051,2100,3.2846455086901187,0.00430775296931364,CMCC-CM2-SR5:p1:2051:2100:SSP585,114.03990180883473
63,CMCC-CM2-SR5,1,historical,1850,1900,-1.1084295897591687,0.00038907140493392943,CMCC-CM2-SR5:p1:1850:1900:historical,114.03990180883473
64,CMCC-CM2-SR5,1,historical,1900,1950,-0.9934243699227068,0.0006591796875,CMCC-CM2-SR5:p1:1900:1950:historical,114.03990180883473
65,CMCC-CM2-SR5,1,historical,1950,2000,-0.6241865746335975,0.000814208984375,CMCC-CM2-SR5:p1:1950:2000:historical,114.03990180883473
66,CMCC-CM2-SR5,1,historical,1992,2014,-0.08586229979613336,0.0017579973421313546,CMCC-CM2-SR5:p1:1992:2014:historical,114.03990180883473
67,CMCC-ESM2,1,SSP126,2016,2050,0.5814902538688784,0.0019058526000555825,CMCC-ESM2:p1:2016:2050:SSP126,882.0763639706814
68,CMCC-ESM2,1,SSP126,2051,2100,1.6773851891598497,0.001363948899872449,CMCC-ESM2:p1:2051:2100:SSP126,31.2851917513972
69,CMCC-ESM2,1,SSP245,2016,2050,0.6246699132338449,0.0020979338270776414,CMCC-ESM2:p1:2016:2050:SSP245,878.1277184152472
70,CMCC-ESM2,1,SSP245,2051,2100,2.194433167284501,0.002516558431849188,CMCC-ESM2:p1:2051:2100:SSP245,76.34791995756244
