,model,p,scenario,startyr,endyr,Tavg,dSdt
72,CMCC-ESM2,1,historical,1992,2014,-0.07562197734199572,0.0013169990005818281
73,CanESM5,1,SSP126,2016,2050,1.0494882536819374,0.001954899158547906
74,CanESM5,1,SSP126,2051,2100,1.5950495773514775,0.0012186157308062729
75,CanESM5,1,SSP245,2016,2050,1.194976259823011,0.002232908304123318
76,CanESM5,1,SSP245,2051,2100,2.601528119885387,0.002618646074314507
77,CanESM5,1,SSP585,2016,2050,1.4087315429360387,0.0027616403120405537
78,CanESM5,1,SSP585,2051,2100,4.509516739885356,0.005831337502213562
79,CanESM5,1,historical,1850,1900,-1.288916939750095,-0.00025922863632440557
80,CanESM5,1,historical,1900,1950,-1.1297217578004393,-0.00013471675589680668
81,CanESM5,1,historical,1950,2000,-0.825889334832857,0.00018178715184330937
82,CanESM5,1,historical,1992,2014,-0.08457625422497358,0.0013593809340487824
83,CanESM5,2,SSP126,2016,2050,1.1029056998492024,0.001939366210032912
84,CanESM5,2,SSP126,2051,2100,1.607645254262178,0.0011729119535611604
85,CanESM5,2,SSP245,2016,2050,1.22730309475059,0.0022218632347443526
86,CanESM5,2,SSP245,2051,2100,2.6023971646791155,0.0025570401731802492
87,CanESM5,2,SSP585,2016,2050,1.451579986173573,0.002742217875578824
88,CanESM5,2,SSP585,2051,2100,4.549376717857513,0.0057450679491977295
89,CanESM5,2,historical,1850,1900,-1.2901560850450209,-0.0002645018789917231
90,CanESM5,2,historical,1900,1950,-1.1223430372217422,-0.00012805014662444592
91,CanESM5,2,historical,1950,2000,-0.8304641896682483,0.00018298502173274758
92,CanESM5,2,historical,1992,2014,-0.08985436418391828,0.001373414695262909
93,E3SM-1-1,1,historical,1850,1900,-0.4792215045561079,0.00032582994550466537
94,E3SM-1-1,1,historical,1900,1950,-0.5214428527045811,0.00026493759825825693
95,E3SM-1-1,1,historical,1950,2000,-0.5469366942774627,0.00017297795042395592
96,E3SM-1-1,1,historical,1992,2014,-0.06214463298482542,0.0012855932793833993
97,E3SM-1-1-ECA,1,historical,1850,1900,-0.6075594368397788,0.0002989892289042473
98,E3SM-1-1-ECA,1,historical,1900,1950,-0.6494602519229602,0.00028831103816628456
99,E3SM-1-1-ECA,1,historical,1950,2000,-0.5786557798633112,0.00019919967278838157
100,E3SM-1-1-ECA,1,historical,1992,2014,-0.07436249954537288,0.0013287939469922674
101,EC-Earth3-CC,1,SSP245,2016,2050,0.5685827877334759,0.0017466926399399253
102,EC-Earth3-CC,1,SSP245,2051,2100,1.6428629007605196,0.0021724488054003033
103,EC-Earth3-CC,1,SSP585,2016,2050,0.5915107137864197,0.001975275356979931
104,EC-Earth3-CC,1,SSP585,2051,2100,2.957445566766694,0.004371789949280875
105,EC-Earth3-CC,1,historical,1850,1900,-1.4027734797650169,-0.00011046737432479859
106,EC-Earth3-CC,1,historical,1900,1950,-1.2897697741811953,0.00024022523313760758
107,EC-Earth3-CC,1,historical,1950,2000,-0.6551007325431897,0.00020482487976551057
108,EC-Earth3-CC,1,historical,1992,2014,-0.08047753976194372,0.0011543468995527787
109,EC-Earth3-Veg,1,SSP126,2016,2050,0.6677028643705967,0.0015242487630423378
110,EC-Earth3-Veg,1,SSP126,2051,2100,1.110083051131312,0.001221380899755322
111,EC-Earth3-Veg,1,SSP245,2016,2050,0.7128552498841145,0.0017707828870590996
112,EC-Earth3-Veg,1,SSP245,2051,2100,1.8902871908647398,0.002271849890144504
113,EC-Earth3-Veg,1,SSP585,2016,2050,0.9213605385058941,0.002026891226277632
114,EC-Earth3-Veg,1,SSP585,2051,2100,3.2849386547391077,0.00428476443096083
115,EC-Earth3-Veg,1,historical,1850,1900,-1.3220684628331583,5.144268274307251e-05
116,EC-Earth3-Veg,1,historical,1900,1950,-0.9575471467827583,0.0001666353642940521
117,EC-Earth3-Veg,1,historical,1950,2000,-0.6350626173507976,0.00027120895683765414
118,EC-Earth3-Veg,1,historical,1992,2014,-0.07167544548985916,0.001322049308906902
119,FGOALS-f3-L,1,SSP126,2016,2050,0.6693756528384256,0.001587785451727755
120,FGOALS-f3-L,1,SSP126,2051,2100,0.9150046309954405,0.0008217684772549843
121,FGOALS-f3-L,1,SSP585,2016,2050,0.8322146242074382,0.0021107729305239287
122,FGOALS-f3-L,1,SSP585,2051,2100,2.7829819629452004,0.003746473363467625
123,FGOALS-f3-L,1,historical,1850,1900,-1.0877670296077895,-0.00017397141084074974
124,FGOALS-f3-L,1,historical,1900,1950,-0.9310056269383722,4.3308772146701815e-05
125,FGOALS-f3-L,1,historical,1950,2000,-0.585213338393828,0.00031593237072229384
126,FGOALS-f3-L,1,historical,1992,2014,-0.04601555278094338,0.0010167639702558517
127,FGOALS-g3,1,SSP126,2016,2050,0.46400102641590973,0.0010987504148015788
