time,gm_tas
185001,285.6731003991039
185002,285.88859916261697
185003,286.3084465212964
185004,287.73495704826297
185005,288.6208685140558
185006,289.18538005993025
185007,289.4275781236557
185008,289.31505707918564
185009,288.6521900147971
185010,287.5646755144146
185011,286.61299417020473
185012,285.75678228182994
185101,285.72109750110934
185102,285.69636819563
185103,286.70853062228053
185104,287.61443238198586
185105,288.5844256327494
185106,289.2643161485085
185107,289.4988087378665
185108,289.1739461218189
185109,288.7170485465987
185110,287.72055980370504
185111,286.65684514918024
185112,285.94129737214695
185201,285.69077955276776
185202,285.98539953934727
185203,286.9757230386865
185204,287.831307742185
185205,288.7304361575926
185206,289.46502208872937
185207,289.62421138794207
185208,289.4435141933725
185209,288.7593898743437
185210,287.7296229589402
185211,287.0708534023864
185212,285.9927271685477
185301,285.949334999414
185302,286.14778868317563
185303,286.7349634088712
185304,287.7083183395859
185305,288.670258331181
185306,289.2354572160649
185307,289.5746638347345
185308,289.3178496831325
185309,288.70918520773273
185310,287.69635492649604
185311,286.69947806639647
185312,285.98656351526523
185401,285.80261941624394
185402,286.38556304129787
185403,286.78243901889095
185404,287.9765353839511
185405,288.68231237264416
185406,289.3105219724433
185407,289.5457561887693
185408,289.56096583181096
185409,288.8248882570686
185410,287.7545213508518
185411,286.6592135708276
185412,285.82770110514707
185501,285.5052201609403
185502,285.83876438190737
185503,286.4733516531181
185504,287.72653440282676
185505,288.6098583380248
185506,289.2274974297393
185507,289.53546911085175
185508,289.30989116166757
185509,288.7516089178378
185510,287.73221505648127
185511,286.78566353311254
185512,285.9398425823855
185601,285.7522970640268
185602,285.98722139438706
185603,286.71466365891774
185604,287.6638974386433
185605,288.68603398513204
185606,289.24112804261745
185607,289.51621312056534
185608,289.46944062258143
185609,288.7502149027251
185610,287.7519693660739
185611,286.747683289248
185612,285.7799026483981
185701,285.8301521411132
185702,286.1728985045999
185703,286.93220944789135
185704,287.750835744607
185705,288.689894507778
185706,289.4660901118139
185707,289.7303540446369
185708,289.5347032793726
185709,288.88454504605966
185710,288.0434383365643
185711,286.871397388357
185712,286.08326965380775
185801,285.82426400078896
185802,285.94661428429663
185803,286.7797938939673
185804,287.67117232830634
185805,288.779486333239
185806,289.33063987912936
185807,289.58967446763677
185808,289.5903246594685
185809,288.91676066433627
185810,287.8390652434779
185811,286.62254978149394
185812,286.065551110354
185901,285.9958263101374
185902,286.1718636522342
185903,286.7672287368454
185904,287.80091139970665
185905,288.85341796686606
185906,289.67869574130617
185907,289.95523034319456
185908,289.75233126460586
185909,289.01702813732675
185910,288.07423826340454
185911,286.79945999890913
185912,286.07003084443596
186001,285.89975716612906
186002,286.1493036888936
186003,286.7264256131146
186004,287.86350447166654
186005,288.825071063555
186006,289.42981523485616
186007,289.8182049719397
186008,289.52089473924093
186009,288.8547652241159
